"Name","Team","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"David Peralta","- - -","LF","113","106","927.0","215","2","2","2","0","0","1","0","0","","","","","",".991","","2136"
"Tommy Pham","- - -","LF","134","133","1135.1","227","15","7","3","4","0","1","0","0","","","","","",".972","","2967"
"Anthony Rizzo","NYY","1B","120","115","1034.0","919","72","5","4","1","66","4","0","69","11","","","","",".995","","3473"
"Josh Donaldson","NYY","3B","104","102","902.2","78","220","12","4","8","16","14","2","2","","","","","",".961","","5038"
"Brandon Crawford","SFG","SS","116","113","979.0","163","287","16","5","11","63","34","29","6","","","","","",".966","","5343"
"Freddie Freeman","LAD","1B","159","159","1377.2","1155","91","5","5","0","93","5","0","97","14","","","","",".996","","5361"
"Jose Altuve","HOU","2B","135","134","1150.1","159","269","9","6","3","63","22","44","1","","","","","",".979","","5417"
"Eduardo Escobar","NYM","3B","130","125","1108.2","91","184","12","6","6","18","16","1","2","","","","","",".958","","6153"
"Martin Maldonado","HOU","C","113","110","948.2","1025","49","2","0","2","0","1","0","2","","46","16","9","31",".998","","6887"
"Miguel Rojas","MIA","SS","136","132","1113.2","184","340","7","2","5","67","30","38","7","","","","","",".987","","7802"
"Elvis Andrus","- - -","SS","143","139","1220.1","172","366","10","5","5","57","36","23","7","","","","","",".982","","8709"
"Paul Goldschmidt","STL","1B","128","127","1103.2","1071","91","1","1","0","111","7","2","115","15","","","","",".999","","9218"
"Starling Marte","NYM","RF","116","116","993.2","209","9","1","0","1","0","2","0","0","","","","","",".995","","9241"
"Nolan Arenado","STL","3B","131","131","1118.2","84","283","12","6","6","38","32","9","2","","","","","",".968","","9777"
"Mike Trout","LAA","CF","111","110","937.2","250","2","1","1","0","0","0","0","0","","","","","",".996","","10155"
"Jose Iglesias","COL","SS","116","116","975.2","123","298","8","5","3","69","34","35","5","","","","","",".981","","10231"
"Cesar Hernandez","WSN","2B","126","124","1080.0","191","284","4","2","2","66","27","41","3","","","","","",".992","","10556"
"Gio Urshela","MIN","3B","136","131","1144.2","100","237","6","1","5","25","21","5","1","","","","","",".983","","10681"
"Jurickson Profar","SDP","LF","146","141","1237.2","229","10","4","2","2","0","2","0","0","","","","","",".984","","10815"
"Jonathan Schoop","DET","2B","129","127","1106.0","207","313","3","3","0","77","25","57","4","","","","","",".994","","11265"
"Mark Canha","NYM","LF","123","113","981.2","169","2","0","0","0","0","1","0","0","","","","","","1.000","","11445"
"Christian Yelich","MIL","LF","115","114","1008.2","189","2","1","1","0","0","1","0","0","","","","","",".995","","11477"
"Michael A. Taylor","KCR","CF","123","114","1010.0","289","8","3","3","0","0","0","0","0","","","","","",".990","","11489"
"Manny Machado","SDP","3B","134","132","1143.0","94","217","11","5","6","24","16","7","4","","","","","",".966","","11493"
"Nick Castellanos","PHI","RF","121","119","1009.1","217","8","0","0","0","0","3","0","0","","","","","","1.000","","11737"
"J.T. Realmuto","PHI","C","133","130","1131.2","1151","49","8","1","6","1","7","1","3","","38","30","2","35",".993","","11739"
"Xander Bogaerts","BOS","SS","146","146","1249.2","171","401","10","6","4","74","45","29","5","","","","","",".983","","12161"
"Rougned Odor","BAL","2B","129","111","1019.1","209","296","16","8","8","72","25","48","1","","","","","",".969","","12282"
"Kolten Wong","MIL","2B","131","115","1030.2","182","255","17","10","7","54","22","33","5","","","","","",".963","","12532"
"Marcus Semien","TEX","2B","148","148","1293.0","252","398","7","1","6","80","32","54","5","","","","","",".989","","12533"
"C.J. Cron","COL","1B","121","120","1028.0","1033","59","7","5","2","106","7","0","112","10","","","","",".994","","12546"
"Eugenio Suarez","SEA","3B","130","129","1144.0","112","226","10","3","7","20","17","4","3","","","","","",".971","","12552"
"Francisco Lindor","NYM","SS","159","159","1378.2","197","385","9","4","5","79","31","50","2","","","","","",".985","","12916"
"Brandon Nimmo","NYM","CF","151","148","1282.1","304","4","0","0","0","0","1","0","0","","","","","","1.000","","12927"
"Javier Baez","DET","SS","133","132","1122.2","187","354","26","9","17","72","43","30","3","","","","","",".954","","12979"
"Teoscar Hernandez","TOR","RF","117","115","966.2","227","10","4","3","1","0","1","0","0","","","","","",".983","","13066"
