last_name, first_name,player_id,year,b_total_pa,b_total_hits,b_home_run,b_k_percent,xbadiff,solidcontact_percent,hard_hit_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Pujols, Albert,405395,2022,351,83,24,15.7,.008,7,47.3,48.2,52.3,30.2,17.4,
Cabrera, Miguel,408234,2022,433,101,5,23.3,.020,3.7,38.2,50.2,31.6,39.9,28.6,
Molina, Yadier,425877,2022,270,56,5,14.8,-0.016,4.9,26,58.6,36.3,38.6,25.1,
Cruz Jr., Nelson,443558,2022,507,105,10,23.5,-0.007,4.5,46.1,50.8,32.8,37.3,29.8,
Peralta, David,444482,2022,490,110,12,23.3,.002,9.1,44.4,50.4,38.1,39.6,22.4,
Longoria, Evan,446334,2022,298,65,14,27.9,.011,10.2,46.8,44.4,43,32.8,24.2,
Blackmon, Charlie,453568,2022,577,140,16,18.9,.008,4,30.6,51.5,43,36,21,
Maldonado, Martin,455117,2022,379,64,15,30.6,.005,6,40.2,49.9,41.9,35,23.1,
Solano, Donovan,456781,2022,304,79,4,20.1,.016,6.8,41.2,49.5,34.2,38.4,27.4,
McCutchen, Andrew,457705,2022,580,122,17,21.4,-0.015,5.8,40,44.9,43.3,37,19.7,
Turner, Justin,457759,2022,532,130,13,16.7,.011,6.2,40.6,48.2,34.6,35.7,29.7,
Votto, Joey,458015,2022,376,66,11,25.8,-0.013,3.1,41.3,46.5,37.8,39.1,23.1,
Andrus, Elvis,462101,2022,577,133,17,15.9,.004,3.6,34.8,45.6,37.5,38.6,23.9,
Santana, Carlos,467793,2022,506,87,19,17.4,-0.051,7.2,44.9,42.6,47,34.2,18.8,
Belt, Brandon,474832,2022,298,54,8,27.2,-0.002,6.3,38.5,47.1,36.8,33.9,29.3,
Brantley Jr., Michael,488726,2022,277,70,5,10.8,-0.022,6.5,45.1,41.5,37.2,41.9,20.9,
Gurriel, Yuli,493329,2022,584,132,8,12.5,.002,4.4,35.6,48.5,29.5,39.4,31.2,
Rojas, Miguel,500743,2022,507,111,6,12.0,-0.028,5.6,27.1,47.9,32.4,36.5,31.2,
Escobar, Eduardo,500871,2022,542,119,20,23.8,-0.003,8.9,37.6,52.4,40.6,37.9,21.5,
Pham, Tommy,502054,2022,622,131,17,26.8,-0.002,8.2,48.5,42,34.2,39.8,26,
Martinez, J.D.,502110,2022,596,146,16,24.3,.014,8.9,41.7,51.9,31.6,38.9,29.5,
Goldschmidt, Paul,502671,2022,651,178,35,21.7,.056,9.9,47.4,41.7,36.3,36.3,27.4,
Altuve, Jose,514888,2022,604,158,28,14.4,.031,6.6,29.7,44.3,46.9,36.3,16.8,
Hernandez, Cesar,514917,2022,617,139,1,18.5,.000,4.9,29.7,47.5,32.8,35.5,31.7,
Segura, Jean,516416,2022,387,98,10,15.0,.023,4,38.4,48.8,25.6,45.8,28.6,
Marte, Starling,516782,2022,505,136,16,19.2,.016,7,33.9,49.8,38.8,37.1,24.1,
d'Arnaud, Travis,518595,2022,426,106,18,21.1,.021,6.2,38.9,52.8,38.9,35.6,25.5,
Donaldson, Josh,518626,2022,546,106,15,27.1,.007,6.3,43.3,47.3,42.3,39.9,17.9,
Freeman, Freddie,518692,2022,708,199,21,14.4,.012,8.5,47.8,49.3,34.6,35,30.4,
Grandal, Yasmani,518735,2022,376,66,5,21.0,-0.015,6.4,40,39.7,35.2,34.4,30.4,
LeMahieu, DJ,518934,2022,541,122,12,13.1,-0.013,6.8,41.1,39.5,24.8,37.8,37.3,
Moustakas, Mike,519058,2022,285,54,7,26.3,.019,5.6,33.9,54.3,38.3,38.9,22.8,
Rizzo, Anthony,519203,2022,548,104,32,18.4,-0.015,7.7,41,46.1,45.9,30.9,23.2,
Stanton, Giancarlo,519317,2022,452,84,31,30.3,-0.029,4.5,52.3,43.1,32.6,41.7,25.8,
Perez, Salvador,521692,2022,473,113,23,23.0,.009,8,49,57.4,42.2,35.1,22.7,
Flores, Wilmer,527038,2022,602,120,19,17.1,-0.004,5.4,35.4,45.6,46.6,32.2,21.2,
Garcia, Avisail,541645,2022,380,80,8,28.7,-0.006,8.8,44.8,59,31.2,42.4,26.4,
Bethancourt, Christian,542194,2022,333,80,11,24.0,-0.003,6.3,44.8,62.5,35.6,41.4,23,
Ozuna, Marcell,542303,2022,507,106,23,24.1,-0.030,4,43.8,49.4,41.2,37.2,21.6,
Ortega, Rafael,542364,2022,371,76,7,19.9,.000,5.2,33.7,45.4,40.4,35.2,24.4,
Aguilar, Jesus,542583,2022,507,109,16,23.5,-0.005,7.7,36,49.5,36.3,39.1,24.6,
Berti, Jon,542932,2022,404,86,4,22.0,.004,5.2,37,44.5,30,40.7,29.3,
Crawford, Brandon,543063,2022,458,94,9,21.4,.014,5.4,35.1,50.7,34.8,40.9,24.3,
Cron, C.J.,543068,2022,632,148,29,25.9,.013,5.5,42.3,47.7,33.7,40.6,25.7,
Gomes, Yan,543228,2022,293,65,8,16.0,-0.016,6,28.9,54.2,40.9,35.3,23.8,
Grossman, Robbie,543257,2022,477,86,7,27.0,.004,7.7,30.4,40.9,46.2,32.9,21,
Harrison, Josh,543281,2022,425,99,7,16.7,.023,5.3,32.3,54.7,35.1,39.8,25.1,
Hicks, Aaron,543305,2022,453,83,8,24.1,-0.002,2.9,33.1,41.1,44.2,32,23.7,
Hosmer, Eric,543333,2022,419,102,8,15.3,.010,5.7,39.7,49,36,39.4,24.6,
Nola, Austin,543592,2022,397,87,4,15.1,-0.005,6.7,39.7,42.8,42.1,33.3,24.6,
Semien, Marcus,543760,2022,724,163,26,16.6,.005,6.2,34.9,47.2,43.5,34,22.5,
Springer III, George,543807,2022,583,137,25,17.2,.002,7.2,42.3,50.9,45.7,32.3,22,
Vazquez, Christian,543877,2022,426,109,9,16.2,.012,3.6,36.4,49.2,28.3,44,27.7,
Wong, Kolten,543939,2022,497,108,15,17.7,.016,6.3,35.5,43.1,41.8,33,25.2,
Garcia, Leury,544725,2022,315,63,3,20.6,-0.023,3.3,35.6,56.4,33.3,39.6,27.1,
Grichuk, Randal,545341,2022,538,131,19,23.6,.030,6.6,43.6,50.6,33.9,40.2,26,
Stassi, Max,545358,2022,375,60,9,29.9,.000,4.9,39.5,44.1,35.4,40.4,24.2,
Trout, Mike,545361,2022,499,124,40,27.9,.018,7,51,43.4,40,33.7,26.3,
Harper, Bryce,547180,2022,426,106,18,20.4,-0.002,6.2,47.9,56.2,37.9,36.2,25.9,
Abreu, Jose,547989,2022,679,183,15,16.2,.008,7.7,51.8,47.3,34.5,39.2,26.3,
Diaz, Elias,553869,2022,381,80,9,21.5,.006,5.1,39.3,51.8,32.4,41.2,26.5,
Narvaez, Omar,553882,2022,296,54,4,19.3,-0.001,4.8,18.4,50,37.7,34.3,28,
Suarez, Eugenio,553993,2022,629,128,31,31.2,.016,7.4,43.5,41.8,44.3,31.3,24.4,
Urshela, Gio,570482,2022,551,143,13,17.4,.017,6.6,37.6,53.1,33.3,39.8,26.9,
Schoop, Jonathan,570731,2022,510,97,11,21.0,-0.026,6.6,38.6,55.5,37,39.9,23,
Arenado, Nolan,571448,2022,620,163,30,11.6,.028,7.8,38.9,48.4,45.2,34.8,20,
Barnhart, Tucker,571466,2022,308,62,1,24.0,.020,2.9,26,46.2,34.1,37,28.8,
Farmer, Kyle,571657,2022,583,134,14,17.0,-0.003,6.9,33.8,50.3,39.1,35.4,25.5,
Hernandez, Enrique,571771,2022,402,80,6,17.7,-0.016,3.4,35,47.7,43.9,33.7,22.4,
Muncy, Max,571970,2022,565,91,21,25.0,-0.012,10.3,45.6,38.6,48,31.3,20.7,
Myers, Wil,571976,2022,286,68,7,30.1,.036,7.9,37.6,45.3,35.4,34.8,29.8,
Naquin, Tyler,571980,2022,334,71,11,27.8,-0.018,6.9,40.8,58,38.1,33.9,28,
Pollock, AJ,572041,2022,527,120,14,18.6,-0.013,5.8,42,53.6,40.8,35.7,23.5,
Taylor, Michael A.,572191,2022,456,105,9,23.9,.031,4.8,32.9,51.5,36.5,37.7,25.8,
Thompson, Trayce,572204,2022,255,56,13,36.5,.005,7.8,46.9,43.9,55.5,27.3,17.2,
Voit III, Luke,572228,2022,568,113,22,31.5,.004,8.3,44.3,52,46.2,33.6,20.2,
Walker, Christian,572233,2022,667,141,36,19.6,-0.015,6.5,44,44.7,38.8,37,24.2,
Dickerson, Corey,572816,2022,297,75,6,16.2,.004,3.8,32.8,58.4,35.7,34.5,29.8,
Ruf, Darin,573131,2022,388,68,11,27.1,-0.015,8.2,40.5,40.4,42.2,29.3,28.4,
Yastrzemski, Mike,573262,2022,558,104,17,25.3,-0.006,5.1,42.5,42.9,42.7,33.6,23.6,
Contreras, Willson,575929,2022,487,101,22,21.1,-0.013,8.3,48.6,50.6,40.3,36.2,23.5,
Iglesias, Jose,578428,2022,467,128,3,12.0,.026,2.3,27.7,51.9,37.6,39.9,22.5,
Canha, Mark,592192,2022,542,123,13,17.9,.021,6.8,36.6,42.9,39.3,32,28.7,
Castellanos, Nick,592206,2022,558,138,13,23.3,.013,6.1,35.1,57,35.6,32.1,32.3,
Drury, Brandon,592273,2022,568,136,28,22.2,.021,7.3,42.2,45.9,44.7,32.1,23.2,
Gamel, Ben,592325,2022,423,86,9,23.2,-0.012,6.2,37.6,43.1,36.1,38.7,25.2,
Judge, Aaron,592450,2022,696,177,62,25.1,.006,7.2,61.8,42.7,47.3,31.5,21.3,
Machado, Manny,592518,2022,644,172,32,20.7,.034,9.8,49,50.8,40.7,33.1,26.2,
Pederson, Joc,592626,2022,433,104,23,23.1,.008,5.6,52.1,46.1,35.6,37.7,26.8,
Realmuto, J.T.,592663,2022,562,139,22,21.2,.001,6.7,47.2,49,38.2,33.6,28.2,
Renfroe, Hunter,592669,2022,522,121,29,23.2,.015,6.4,43.6,47.8,40.5,36,23.5,
Rosario, Eddie,592696,2022,270,53,5,25.2,.012,5.9,33,53.5,38.4,43.2,18.4,
Yelich, Christian,592885,2022,671,145,14,24.1,-0.006,6.7,48.6,43.2,33.4,38.9,27.6,
Merrifield, Whit,593160,2022,550,126,11,15.5,.010,7.3,31.1,50.9,35.1,35.8,29,
Bogaerts, Xander,593428,2022,631,171,15,18.7,.048,4.9,39.5,45.7,37.2,37.4,25.3,
Polanco, Jorge,593871,2022,445,88,16,21.3,-0.013,6.3,38.7,42.4,46.5,33.1,20.4,
Calhoun, Kole,594777,2022,424,76,12,32.1,-0.027,8.6,48.2,53.1,45.9,34.5,19.6,
Duvall, Adam,594807,2022,315,61,12,32.1,.004,7.4,41,50.5,48.4,32.4,19.1,
Alfaro, Jorge,595751,2022,274,63,7,35.8,.008,4.3,38.5,62.6,31.1,41.6,27.3,
Profar, Jurickson,595777,2022,658,140,15,15.7,-0.008,4.6,34.3,43.6,42.1,32.6,25.3,
Baez, Javier,595879,2022,590,132,17,24.9,.008,4.9,38,55.8,39.9,34.8,25.3,
Hedges, Austin,595978,2022,338,48,7,23.1,-0.020,4.4,22.3,47.6,41,34.9,24,
