last_name, first_name,player_id,year,p_k_percent,p_bb_percent,p_win,p_loss,groundballs_percent,flyballs_percent,ff_avg_spin,n_fastball_formatted,fastball_avg_spin,fastball_avg_break_x,n_breaking_formatted,breaking_avg_spin,
Wainwright, Adam,425794,2022,17.8,6.7,11,12,43.7,25.2,2234,62.9,2291,-3.5,31,2776,
Greinke, Zack,425844,2022,12.5,4.6,4,9,41.5,23.2,2286,54.8,2304,-0.2,28.7,2434,
Verlander, Justin,434378,2022,27.8,4.4,18,4,38.6,28.5,2423,50.4,2423,-9.5,47.1,2536,
Sanchez, Anibal,434671,2022,16.4,11.3,4,6,39.1,30.9,2065,62.7,2035,-4.6,11.8,2069,
Jansen, Kenley,445276,2022,32.7,8.5,5,2,30.5,39.1,,86.9,2480,5.1,13.1,2459,
Chavez, Jesse,445926,2022,25.3,6.8,4,3,39.6,25.4,2056,85.4,2145,-6.5,1.7,2512,
Detwiler, Ross,446321,2022,23.0,8.2,0,2,39.5,22.2,2243,93.8,2155,5.4,3.4,2141,
Kluber, Corey,446372,2022,20.2,3.0,10,10,36.8,27,2271,62.4,2292,-5.6,27.3,2526,
Hill, Rich,448179,2022,20.7,7.0,8,7,40.7,27.1,2252,49.3,2257,5.6,46.6,2612,
Morton, Charlie,450203,2022,28.2,8.7,9,6,39.6,28.1,2374,53.4,2368,-9.7,38,3068,
Kennedy, Ian,453178,2022,19.0,9.5,4,7,24.4,32.9,2447,83.6,2436,-10,5.8,2555,
Bard, Daniel,453268,2022,28.2,10.2,6,4,51.4,20.3,2634,55,2513,-14.1,42.6,2775,
Scherzer, Max,453286,2022,30.6,4.2,11,5,32.8,30.8,2387,54.8,2387,-9.1,32.7,2433,
Melancon, Mark,453343,2022,14.2,8.5,3,10,44.2,22.1,2324,65.8,2269,0.6,31.8,2571,
Martin, Chris,455119,2022,32.9,2.2,4,1,49.7,22.1,2182,83.1,2160,-4.6,7.7,2495,
Price, David,456034,2022,22.2,5.4,2,0,56.2,24,1888,85.1,1902,9.7,4.2,2224,
Cueto, Johnny,456501,2022,15.7,5.1,8,10,42.9,27.6,2189,62.7,2156,-11.1,17.1,2231,
Bush, Matt,456713,2022,30.3,7.4,2,3,42.3,34.2,2525,64.8,2548,-4.6,35.2,2480,
Lynn, Lance,458681,2022,24.2,3.7,8,7,42.6,26.7,2443,82.6,2472,-3.1,13.4,2517,
McGee, Jake,459429,2022,15.3,7.4,1,3,28.6,38.1,2079,82.8,2079,11.7,17.2,1842,
Clippard, Tyler,461325,2022,14.3,14.3,0,0,41.2,35.3,2229,47.8,2179,-10.3,5.3,2140,
Chacin, Jhoulys,468504,2022,16.9,9.6,4,2,39,28.9,2379,44.7,2319,-9.9,52.7,2599,
Carrasco, Carlos,471911,2022,23.6,6.4,15,7,47,23,2283,46.8,2253,-9.7,28.6,2485,
Garcia, Luis,472610,2022,26.3,6.6,4,6,54.4,16.6,2247,55,2146,-14.5,32.1,2482,
Phelps, David,475479,2022,23.5,11.4,0,2,37.6,28.9,2359,66.1,2358,-6.4,26.4,2532,
Luetge, Lucas,476595,2022,23.9,6.8,4,4,35.9,21.8,,54.6,2591,-5.1,45.4,2609,
Kershaw, Clayton,477132,2022,27.8,4.7,12,3,47.7,21.8,2408,40.4,2407,-0.4,59,2526,
Hunter, Tommy,488984,2022,23.4,6.4,0,1,42.4,34.8,2345,86,2399,-4.6,14,2705,
Miley, Wade,489119,2022,17.6,8.8,2,2,52.2,20,2263,59.3,2270,-0.7,9.1,2372,
Romo, Sergio,489265,2022,17.7,7.6,0,1,17.2,48.3,2272,36.4,2162,-18,50.4,2789,
Stammen, Craig,489334,2022,19.8,5.6,1,2,51.2,27.1,2296,76.6,2241,-9.6,20.7,2357,
Yates, Kirby,489446,2022,18.2,15.2,0,0,36.4,45.5,2327,50.4,2327,-13.4,0.7,2346,
Ottavino, Adam,493603,2022,30.6,6.2,6,3,51.3,20.3,2351,50,2310,-12.3,42.9,2700,
Quintana, Jose,500779,2022,20.2,6.9,6,7,47,20.8,2077,52.4,2075,5.6,28.1,2261,
Pineda, Michael,501381,2022,13.0,4.0,2,7,39.2,28.3,1934,59.2,1934,-5.5,21.5,1933,
Alvarez, Jose,501625,2022,19.7,11.8,2,1,49,22.4,2146,54.9,2035,15.9,9.9,2161,
Smith, Joe,501925,2022,13.9,7.4,1,1,56.8,20,2053,72.7,1962,-15.5,27.3,2223,
Minor, Mike,501985,2022,16.7,8.8,4,12,34.6,29.2,2472,41.5,2472,4,35.3,2622,
Archer, Chris,502042,2022,19.2,11.0,2,8,43.9,26.9,2174,35.7,2174,-6.4,49.6,2464,
Gibson, Kyle,502043,2022,20.1,6.7,10,8,46.8,23.2,2279,61.7,2241,-7.5,27.6,2499,
Robertson, David,502085,2022,30.7,13.3,4,3,46.2,26.9,,51,2611,0.7,49,2645,
Cobb, Alex,502171,2022,23.9,6.8,7,8,61.9,14.5,2251,42.1,2091,-15.8,15.3,2610,
Espino, Paolo,502179,2022,18.9,4.9,0,9,40.4,32,2228,48,2228,-2.8,47.3,2885,
Boxberger, Brad,502202,2022,25.4,10.1,4,3,36.8,32.2,2385,55,2385,-6,22.5,2461,
Anderson, Chase,502624,2022,22.3,14.6,2,4,54.8,21,2163,55.4,2217,-5.3,16.2,2252,
O'Day, Darren,503285,2022,27.7,10.6,2,2,38.6,31.6,2387,52.2,2352,-11.8,47.8,2315,
Peralta, Wily,503449,2022,19.0,14.3,2,0,45.9,21.6,1944,49.4,1914,-9.2,29.8,2257,
Darvish, Yu,506433,2022,25.6,4.8,16,8,38.5,31,2420,69.5,2571,-1.8,23.1,2719,
Colome, Alex,517008,2022,14.9,10.2,2,7,55.6,20,2125,100,2149,1.1,,,
Alexander, Scott,518397,2022,15.9,1.6,0,0,78.8,5.8,,71.5,2175,13.7,12.6,2381,
Brasier, Ryan,518489,2022,24.3,4.9,0,3,41.1,24.9,2270,55.7,2262,-8.9,42.9,2469,
Bumgarner, Madison,518516,2022,16.0,7.0,7,15,37.7,30.3,2203,69.8,2250,2.3,18.9,2303,
Cishek, Steve,518553,2022,25.8,9.4,1,4,42.8,26,2381,62.5,2329,-15.1,37.1,2275,
Cruz, Fernando,518585,2022,32.8,14.1,0,1,42.4,30.3,2273,26.2,2261,-7.4,44.6,2492,
Diekman, Jake,518617,2022,29.4,15.6,5,4,40.7,20.7,2284,63.9,2251,16.5,35.1,2850,
Grimm, Justin,518748,2022,15.5,9.9,0,0,41.2,23.5,2113,41.2,2113,-5.7,58.8,2321,
Kelly, Merrill,518876,2022,22.0,7.6,13,8,43.8,28.4,2358,64.5,2312,-8.4,13.7,2548,
Kimbrel, Craig,518886,2022,27.7,10.8,6,7,41.3,31,2264,68.5,2264,-10.4,31.5,2542,
McFarland, T.J.,519008,2022,11.0,7.6,0,0,54.3,19,,62.8,1940,17.2,15.2,2258,
Moore, Matt,519043,2022,27.3,12.5,5,2,44.5,23.6,2385,45,2385,9.1,38.2,2434,
Pressly, Ryan,519151,2022,35.7,7.1,3,3,46.2,25,2512,32.6,2512,-3.2,63.9,2959,
Sale, Chris,519242,2022,20.0,4.0,0,1,50,11.1,2313,46.1,2270,15,32.4,2348,
Smith, Will,519293,2022,24.9,9.6,0,3,36.1,32,2179,41.5,2179,8.6,57.4,2199,
Strickland, Hunter,519326,2022,21.1,11.6,3,3,34.2,29.3,2352,57.8,2337,-6,39,2814,
Hendriks, Liam,521230,2022,36.2,6.8,4,4,36.4,28.8,2398,60.5,2398,-6,39.5,2197,
Kelly, Joe,523260,2022,31.2,13.5,1,3,67,17.6,2199,39.5,2179,-15,51.9,2880,
Perez, Martin,527048,2022,20.6,8.4,12,8,51.9,21.4,2055,67.5,2083,10.2,4.9,2482,
Vizcaino, Arodys,527055,2022,10.3,24.1,0,0,26.3,42.1,2247,59.1,2245,-13.6,39.1,2313,
Castellanos, Humberto,528748,2022,16.5,6.2,3,2,34.5,29.7,2139,42.2,2056,-13.9,47.3,2222,
Ramirez, Erasmo,541640,2022,17.6,4.0,4,2,46.2,23.7,2191,89.9,2296,-6.4,6.7,2562,
Cisnero, Jose,542585,2022,21.9,18.1,1,0,37.1,27.4,2452,68.1,2357,-13.5,25.8,2566,
Anderson, Tyler,542881,2022,19.5,4.8,15,5,40.9,27.4,2231,67.1,2293,5.2,1.2,2141,
Armstrong, Shawn,542888,2022,24.5,6.3,2,3,48.9,25.8,2302,93.4,2293,-6.1,6.6,2518,
Bass, Anthony,542914,2022,26.5,7.3,4,3,40.7,26.4,2022,40.3,1998,-11.9,55.7,2221,
Bleier, Richard,542947,2022,14.4,4.5,2,2,54.2,17.9,2103,77.2,2030,10,15.9,2017,
Cole, Gerrit,543037,2022,32.4,6.3,13,8,42,28.6,2428,58.2,2434,-9.2,33.4,2637,
Coulombe, Danny,543056,2022,17.0,17.0,0,0,37.1,34.3,2386,37.8,2378,4.4,42.6,2596,
DeSclafani, Anthony,543101,2022,18.1,4.3,0,2,44.4,26.4,2266,42.6,2140,-14,51.7,2161,
Eovaldi, Nathan,543135,2022,22.4,4.3,6,3,47.9,23.5,2128,48.4,2179,-9.4,30.7,2104,
Gose, Anthony,543238,2022,30.4,15.2,3,0,26.5,36.7,2246,64.8,2246,6.7,35,2288,
Gray, Sonny,543243,2022,24.0,7.4,8,5,44.4,22.2,2540,63.3,2531,-5.1,35.7,2780,
Hand, Brad,543272,2022,19.2,11.6,3,2,42,24.4,2349,47.9,2326,12.8,52.1,2282,
Hendricks, Kyle,543294,2022,18.5,6.7,4,6,37,27.9,2020,57.5,1950,-9.7,11.9,2983,
Hudson, Daniel,543339,2022,30.9,5.2,2,3,55,18.3,2408,54.7,2406,-11.3,41.9,2469,
Lyles, Jordan,543475,2022,18.6,6.7,12,11,40.4,28.2,2204,51.9,2180,-7.8,37.3,2566,
May, Trevor,543507,2022,27.0,8.1,2,0,29.2,30.6,2293,52.5,2295,-8,26.5,2425,
