,PLAYERNAME,Arm Strength
425877,Yadier Molina,9
435559,Kurt Suzuki,7
455117,Martin Maldonado,10
455139,Robinson Chirinos,8
488771,Jason Castro,10
506702,Sandy Leon,9
518595,Travis D'Arnaud,8
518735,Yasmani Grandal,6
519222,Austin Romine,6
519390,Stephen Vogt,6
521692,Salvador Perez,9
542194,Christian Bethancourt,11
543228,Yan Gomes,10
543309,Kyle Higashioka,10
543510,James McCann,8
543592,Austin Nola,8
543877,Christian Vazquez,10
545358,Max Stassi,8
547379,Roberto Perez,9
553869,Elias Diaz,10
553882,Omar Narvaez,9
571466,Tucker Barnhart,9
571912,Luke Maile,10
572287,Mike Zunino,9
575929,Willson Contreras,11
592200,Curt Casali,9
592663,J.T. Realmuto,12
595751,Jorge Alfaro,11
595978,Austin Hedges,10
596117,Garrett Stubbs,11
596142,Gary Sanchez,10
605131,Austin Barnes,7
605170,Victor Caratini,8
605244,Aramis Garcia,10
605421,Michael Perez,9
606992,Eric Haase,10
607732,Jacob Stallings,9
608348,Carson Kelly,9
608700,Kevin Plawecki,6
620443,Luis Torrens,9
621512,Tomas Nido,10
621532,Anthony Bemboom,9
623168,Tyler Heineman,10
624431,Jose Trevino,8
624512,Reese McGuire,10
641470,Zack Collins,8
641598,Mitch Garver,7
641680,Jonah Heim,9
642136,Matt Thaiss,9
642336,Francisco Mejia,10
642851,Austin Wynns,8
643376,Danny Jansen,10
650619,Meibrys Viloria,10
650907,Rene Pinto,11
656180,Riley Adams,10
660688,Keibert Ruiz,8
661388,William Contreras,9
661531,Brian Serven,9
662139,Daulton Varsho,10
663698,Joey Bart,10
663728,Cal Raleigh,9
663886,Tyler Stephenson,10
664874,Seby Zavala,9
668663,Tres Barrera,8
668800,Andrew Knizner,8
668939,Adley Rutschman,10
669004,MJ Melendez,10
669087,Sam Huff,8
669127,Shea Langeliers,10
669134,Luis Campusano,11
669221,Sean Murphy,11
669257,Will Smith,10
669450,Cooper Hummel,6
672386,Alejandro Kirk,10
672515,Gabriel Moreno,11
680777,Ryan Jeffers,9
