"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"MJ Melendez","669004","NA","2",,"119","0","0","0","0","75","0","44","0","119","95.5",,,,,"93.5",,,,"93.2","93.2"
"P.J. Higgins","664731","NA","2",,"153","142","0","11","0","0","0","0","11","0","78.2","72.3",,,,,,,,,"72.3"
"Yuli Gurriel","493329","NA","3","First Baseman","463","463","0","0","0","0","0","0","0","0","79.8","77.2",,,,,,,,,"77.2"
"Franchy Cordero","614173","NA","3","First Baseman","292","222","0","0","0","29","4","37","0","70","91.7","75.3",,,,,,,,"85","85"
"Pete Alonso","624413","NA","3","First Baseman","555","555","0","0","0","0","0","0","0","0","83.1","78",,,,,,,,,"78"
"Joey Votto","458015","NA","3","First Baseman","271","271","0","0","0","0","0","0","0","0","78","76",,,,,,,,,"76"
"Jared Walsh","665120","NA","3","First Baseman","536","536","0","0","0","0","0","0","0","0","83.2","81.6",,,,,,,,,"81.6"
"Bobby Dalbec","666915","NA","3","First Baseman","606","544","3","52","7","0","0","0","62","0","88","74.8",,,,,,,,,"74.8"
"Anthony Rizzo","519203","NA","3","First Baseman","525","525","0","0","0","0","0","0","0","0","78.6","76.8",,,,,,,,,"76.8"
"Freddie Freeman","518692","NA","3","First Baseman","869","869","0","0","0","0","0","0","0","0","86.2","80.8",,,,,,,,,"80.8"
"Alfonso Rivas","663845","NA","3","First Baseman","334","332","0","0","0","2","0","0","0","2","80.7","74.9",,,,,,,,,"74.9"
"Nick Pratto","668472","NA","3","First Baseman","223","203","0","0","0","19","0","1","0","20","88.3","80.2",,,,,,,,,"80.2"
"Yoshi Tsutsugo","660294","NA","3","First Baseman","148","148","0","0","0","0","0","0","0","0","77.8","74.8",,,,,,,,,"74.8"
"Ryan Mountcastle","663624","NA","3","First Baseman","554","554","0","0","0","0","0","0","0","0","77.3","73.4",,,,,,,,,"73.4"
"Joey Meneses","608841","NA","3","First Baseman","220","159","0","0","0","3","0","58","0","61","91","77.7",,,,,,"85.6",,"85.2","85.2"
"Christian Walker","572233","NA","3","First Baseman","581","581","0","0","0","0","0","0","0","0","77.8","75.6",,,,,,,,,"75.6"
"Donovan Solano","456781","NA","3","First Baseman","182","100","28","54","0","0","0","0","82","0","79.3","74.1",,,,,,,"78.7",,"78.7"
"Carlos Santana","467793","NA","3","First Baseman","390","390","0","0","0","0","0","0","0","0","81.1","80.4",,,,,,,,,"80.4"
"Seth Brown","664913","NA","3","First Baseman","513","286","0","0","0","80","55","92","0","227","89","75.5",,,,"84.4","83.3","81.8",,"83.3","83.3"
"Rowdy Tellez","642133","NA","3","First Baseman","702","702","0","0","0","0","0","0","0","0","77.6","73.2",,,,,,,,,"73.2"
"Lewin Díaz","650331","NA","3","First Baseman","248","248","0","0","0","0","0","0","0","0","69.9","68.6",,,,,,,,,"68.6"
"C.J. Cron","543068","NA","3","First Baseman","458","458","0","0","0","0","0","0","0","0","89.9","82.8",,,,,,,,,"82.8"
"Luis Arraez","650333","NA","3","First Baseman","474","290","164","20","0","0","0","0","184","0","86.2","75.8","81.4",,,,,,"82.7",,"82.7"
"Eric Hosmer","543333","NA","3","First Baseman","563","563","0","0","0","0","0","0","0","0","82.3","77.7",,,,,,,,,"77.7"
"Spencer Torkelson","679529","NA","3","First Baseman","509","509","0","0","0","0","0","0","0","0","79.5","74.2",,,,,,,,,"74.2"
"Ji-Man Choi","596847","NA","3","First Baseman","324","324","0","0","0","0","0","0","0","0","74.6","73.3",,,,,,,,,"73.3"
"Jesús Aguilar","542583","NA","3","First Baseman","235","232","0","3","0","0","0","0","3","0","81","73.1",,,,,,,,,"73.1"
"Jose Miranda","669304","NA","3","First Baseman","451","385","0","66","0","0","0","0","66","0","82.3","74.7",,,,,,,,,"74.7"
"Vinnie Pasquantino","686469","NA","3","First Baseman","135","135","0","0","0","0","0","0","0","0","72.9","69.3",,,,,,,,,"69.3"
"Josh Naylor","647304","NA","3","First Baseman","381","369","0","0","0","0","0","12","0","12","92","79.1",,,,,,,,,"79.1"
"Paul Goldschmidt","502671","NA","3","First Baseman","677","677","0","0","0","0","0","0","0","0","72","66.9",,,,,,,,,"66.9"
"Vladimir Guerrero Jr.","665489","NA","3","First Baseman","607","607","0","0","0","0","0","0","0","0","91.9","86.8",,,,,,,,,"86.8"
"José Abreu","547989","NA","3","First Baseman","450","450","0","0","0","0","0","0","0","0","71.4","69.6",,,,,,,,,"69.6"
"Dermis Garcia","660650","NA","3","First Baseman","134","128","0","0","0","6","0","0","0","6","92.9","71",,,,,,,,,"71"
"Rhys Hoskins","656555","NA","3","First Baseman","669","669","0","0","0","0","0","0","0","0","79.4","75.4",,,,,,,,,"75.4"
"Harold Castro","605612","NA","3","First Baseman","482","233","72","84","87","6","0","0","243","6","78.1","71.9",,"76","74.8",,,,"76.1",,"76.1"
"Michael Chavis","656308","NA","3","First Baseman","559","501","39","19","0","0","0","0","58","0","91.1","84",,,,,,,,,"84"
"Nathaniel Lowe","663993","NA","3","First Baseman","683","683","0","0","0","0","0","0","0","0","82.2","80.3",,,,,,,,,"80.3"
"Keston Hiura","669374","NA","3","First Baseman","226","167","42","0","0","17","0","0","42","17","82.4","61.4",,,,,,,,,"61.4"
"Garrett Cooper","643265","NA","3","First Baseman","306","306","0","0","0","0","0","0","0","0","78.9","76.3",,,,,,,,,"76.3"
"Frank Schwindel","643524","NA","3","First Baseman","180","180","0","0","0","0","0","0","0","0","66","65.4",,,,,,,,,"65.4"
"Darin Ruf","573131","NA","3","First Baseman","207","152","0","0","0","39","0","16","0","55","87.9","68.6",,,,,,,,"80.9","80.9"
"Owen Miller","680911","NA","3","First Baseman","408","315","89","4","0","0","0","0","93","0","77.1","69.3","75.6",,,,,,"76.2",,"76.2"
"Brandon Belt","474832","NA","3","First Baseman","279","279","0","0","0","0","0","0","0","0","73.8","72.4",,,,,,,,,"72.4"
"Josh Bell","605137","NA","3","First Baseman","495","495","0","0","0","0","0","0","0","0","72.3","68",,,,,,,,,"68"
"Ty France","664034","NA","3","First Baseman","644","621","1","22","0","0","0","0","23","0","81.4","74.6",,,,,,,,,"74.6"
"Triston Casas","671213","NA","3","First Baseman","114","114","0","0","0","0","0","0","0","0","84.7","81",,,,,,,,,"81"
