last_name, first_name,player_id,year,sl_avg_speed,sl_avg_break,ch_avg_speed,ch_avg_break,cu_avg_speed,cu_avg_break,si_avg_speed,si_avg_break,fc_avg_spin,fc_avg_break,fs_avg_speed,fs_avg_break,
Wainwright, Adam,425794,2022,,,82.2,16.6,72.9,22,88.6,17.9,2411,9.3,,,
Greinke, Zack,425844,2022,82.2,11,86.5,13.6,72,16.9,89.3,15.9,2377,9.3,,,
Verlander, Justin,434378,2022,87.4,6.7,86.2,19,79,13.4,,,,,,,
Sanchez, Anibal,434671,2022,83.2,7.7,79.9,16.2,75.4,4.7,89.1,18.3,2095,12.6,,,
Jansen, Kenley,445276,2022,81.2,7.9,,,,,93.6,20,2567,18.6,,,
Chavez, Jesse,445926,2022,,,85.5,16,76.9,15.7,91.2,18.1,2223,13.1,,,
Kluber, Corey,446372,2022,,,82.9,15.5,80.7,16.9,88.9,18.7,2463,9.3,,,
Hill, Rich,448179,2022,69.2,22.9,82.7,17.7,71.9,22.5,86.1,20.4,2273,9.6,,,
Morton, Charlie,450203,2022,,,87.2,17.8,81.3,18.3,94.7,17.9,2551,5.9,,,
Kennedy, Ian,453178,2022,,,85.7,12.5,79.6,12.5,,,2010,5.3,,,
Bard, Daniel,453268,2022,88.4,8.5,90.2,17.5,,,98,16.3,,,,,
Scherzer, Max,453286,2022,85,5.2,84.1,15.6,75,19.1,,,2391,8.7,,,
Melancon, Mark,453343,2022,84.1,5.3,,,81.7,15.1,,,2266,10.1,83.7,16.7,
Martin, Chris,455119,2022,84.1,13.7,,,83.9,13.6,94.6,18.2,2158,7,88.4,13.1,
Price, David,456034,2022,,,83.9,15.9,78.4,9.6,92.4,18.1,1954,7.9,,,
Cueto, Johnny,456501,2022,83.5,6.9,82.6,13.1,69.9,4.4,91.4,19.3,2177,10.9,,,
Bush, Matt,456713,2022,,,,,81,13.2,,,2617,10.3,,,
Lynn, Lance,458681,2022,86.6,6.1,85.8,13.5,82,11.1,91.5,13.1,2608,6.3,,,
McGee, Jake,459429,2022,85.2,6.5,,,,,,,,,,,
Chacin, Jhoulys,468504,2022,87,6.6,85.4,7.9,79.8,15,92.9,15.1,,,,,
Carrasco, Carlos,471911,2022,84.9,4.1,87.4,8.7,81.1,9.3,91.9,18.1,,,,,
Garcia, Luis,472610,2022,82.7,12.6,,,,,98.7,18,,,88.8,10,
Phelps, David,475479,2022,,,86.5,19.9,81.7,8.3,93.2,20.7,2421,14.4,,,
Luetge, Lucas,476595,2022,77.4,19.5,,,73.5,18.4,,,2591,8.5,,,
Kershaw, Clayton,477132,2022,86.6,9,83.8,20.1,73.2,16.4,90.8,20.8,,,,,
Miley, Wade,489119,2022,78.6,12.6,81.4,17.6,73.5,15.2,88.3,19.6,2284,8.8,,,
Stammen, Craig,489334,2022,81.5,11.3,86.9,17.5,79.6,13.4,91.4,17.9,2315,8.2,,,
Ottavino, Adam,493603,2022,81,18.2,89.1,16.7,,,94.2,17.7,2564,7.9,,,
Quintana, Jose,500779,2022,,,86.4,13.6,78.4,11,91.4,18.2,,,,,
Pineda, Michael,501381,2022,80.7,2.8,85.3,17.3,,,,,,,,,
Minor, Mike,501985,2022,85.4,5.7,84.2,19.5,79.2,13.4,89.9,18.1,,,,,
Archer, Chris,502042,2022,88.7,7,87,16.1,81.7,7.9,,,,,,,
Gibson, Kyle,502043,2022,83.3,5.9,84.6,15.4,79,11.6,91.6,16.3,2359,9.8,,,
Robertson, David,502085,2022,83.9,9.4,,,84.7,13.6,,,2611,17.4,,,
Cobb, Alex,502171,2022,,,,,83.8,14.4,94.8,18.3,,,89.6,13.5,
Espino, Paolo,502179,2022,77.7,19.1,83.6,13.5,71.3,22.4,,,,,,,
Boxberger, Brad,502202,2022,87.3,10,81.2,12.7,,,,,,,,,
Peralta, Wily,503449,2022,83.6,3.1,,,,,95.5,18.6,,,82.6,14.1,
Darvish, Yu,506433,2022,82.3,16,,,72.7,18.6,94.7,18.4,2755,6.8,89.2,8.8,
Colome, Alex,517008,2022,,,,,,,,,2153,7.3,,,
Brasier, Ryan,518489,2022,85.5,6.9,88.1,16.7,,,96.1,19.2,,,,,
Bumgarner, Madison,518516,2022,83.3,6.2,85.5,15.5,78.6,9.8,91.2,20.1,2295,8.9,,,
Cishek, Steve,518553,2022,76.5,17.1,83.1,19.3,,,89.8,18.5,,,,,
Diekman, Jake,518617,2022,81.4,16.3,86.4,14.8,,,95.3,19.5,,,,,
Kelly, Merrill,518876,2022,85,4.1,88.6,16.9,82.2,13.8,92.6,18,2338,13.2,,,
Kimbrel, Craig,518886,2022,,,,,85.7,12.8,,,,,,,
Moore, Matt,519043,2022,,,85,19.2,83.6,11.8,,,,,,,
Pressly, Ryan,519151,2022,89.7,6.4,89.1,15.4,81,20.4,,,,,,,
Smith, Will,519293,2022,81.7,6.4,87.4,18.4,76.9,12.3,,,,,,,
Strickland, Hunter,519326,2022,84.8,8.8,89.8,16,,,94.3,16.8,,,,,
Hendriks, Liam,521230,2022,89,5,,,85.8,11.2,,,,,,,
Kelly, Joe,523260,2022,,,87.1,18.2,88.1,12.5,97.9,18.6,,,,,
Perez, Martin,527048,2022,84.4,7.3,84.4,16.9,78.8,8.3,92.6,19.4,2215,12.5,,,
Castellanos, Humberto,528748,2022,86.2,8.1,84,15.7,76.5,13.9,90.4,16.7,,,,,
