last_name, first_name,player_id,year,b_total_pa,iz_contact_percent,in_zone_swing,
Pujols, Albert,405395,2022,351,88,410,
Cabrera, Miguel,408234,2022,433,80.6,551,
Molina, Yadier,425877,2022,270,81,379,
Cano, Robinson,429664,2022,104,87.2,133,
Suzuki, Kurt,435559,2022,159,87.4,206,
Cruz Jr., Nelson,443558,2022,507,76.7,690,
Peralta, David,444482,2022,490,85.7,609,
Escobar, Alcides,444876,2022,131,82.4,188,
Longoria, Evan,446334,2022,298,77.5,373,
Blackmon, Charlie,453568,2022,577,83.3,748,
Maldonado, Martin,455117,2022,379,79.7,518,
Chirinos, Robinson,455139,2022,220,77.1,288,
Cain, Lorenzo,456715,2022,156,82.6,230,
Solano, Donovan,456781,2022,304,88,399,
McCutchen, Andrew,457705,2022,580,83.2,820,
Upton, Justin,457708,2022,57,71.4,77,
Turner, Justin,457759,2022,532,83.9,745,
Votto, Joey,458015,2022,376,76.9,520,
Andrus, Elvis,462101,2022,577,85.5,689,
Santana, Carlos,467793,2022,506,82.9,656,
Belt, Brandon,474832,2022,298,75.3,429,
Lowrie, Jed,476704,2022,184,80.8,255,
Brantley Jr., Michael,488726,2022,277,91.1,305,
Castro, Jason,488771,2022,88,61.9,126,
Gurriel, Yuli,493329,2022,584,91.8,646,
Rojas, Miguel,500743,2022,507,92.8,587,
Escobar, Eduardo,500871,2022,542,79.2,717,
Adrianza, Ehire,501303,2022,110,85.2,135,
Lagares, Juan,501571,2022,62,81.1,74,
Pham, Tommy,502054,2022,622,82.8,792,
Martinez, J.D.,502110,2022,596,79,834,
Goldschmidt, Paul,502671,2022,651,78.4,774,
Gonzalez, Marwin,503556,2022,207,85.7,251,
Leon, Sandy,506702,2022,86,80.2,106,
Altuve, Jose,514888,2022,604,88.4,653,
Hernandez, Cesar,514917,2022,617,84.9,823,
Segura, Jean,516416,2022,387,88.4,430,
Marte, Starling,516782,2022,505,82.7,636,
Culberson, Charlie,518586,2022,124,79.4,165,
d'Arnaud, Travis,518595,2022,426,79.5,571,
Donaldson, Josh,518626,2022,546,72.5,698,
Freeman, Freddie,518692,2022,708,85.9,963,
Grandal, Yasmani,518735,2022,376,85.3,463,
Heyward, Jason,518792,2022,151,76.2,181,
LeMahieu, DJ,518934,2022,541,89.1,587,
Moustakas, Mike,519058,2022,285,80.8,391,
Rizzo, Anthony,519203,2022,548,84.7,646,
Romine, Austin,519222,2022,136,75.1,177,
Stanton, Giancarlo,519317,2022,452,71,531,
Vogt, Stephen,519390,2022,191,82.7,214,
Perez, Salvador,521692,2022,473,77.8,550,
Flores, Wilmer,527038,2022,602,87.6,768,
Garcia, Avisail,541645,2022,380,78.4,496,
Bethancourt, Christian,542194,2022,333,73,444,
Ozuna, Marcell,542303,2022,507,80.3,636,
Villar, Jonathan,542340,2022,220,70.3,313,
Ortega, Rafael,542364,2022,371,88.7,476,
Aguilar, Jesus,542583,2022,507,82.2,624,
Berti, Jon,542932,2022,404,83,528,
Crawford, Brandon,543063,2022,458,75.1,643,
Cron, C.J.,543068,2022,632,84,768,
Gomes, Yan,543228,2022,293,88.8,340,
Grossman, Robbie,543257,2022,477,83.9,607,
Harrison, Josh,543281,2022,425,82,579,
Hicks, Aaron,543305,2022,453,79.5,616,
Higashioka, Kyle,543309,2022,248,81.5,330,
Hosmer, Eric,543333,2022,419,90.1,496,
McCann, James,543510,2022,191,82.2,241,
Miller, Brad,543543,2022,241,73.1,324,
Nola, Austin,543592,2022,397,91.3,504,
Rendon, Anthony,543685,2022,193,85,247,
Semien, Marcus,543760,2022,724,87.7,956,
Springer III, George,543807,2022,583,79,824,
Strange-Gordon, Dee,543829,2022,59,86.5,74,
Vazquez, Christian,543877,2022,426,88.2,543,
Wong, Kolten,543939,2022,497,85.7,658,
Gregorius, Didi,544369,2022,232,86.7,323,
Garcia, Leury,544725,2022,315,82.6,447,
Vargas, Ildemaro,545121,2022,222,90.3,257,
Grichuk, Randal,545341,2022,538,85.8,668,
Marisnick, Jake,545350,2022,82,81.2,101,
Stassi, Max,545358,2022,375,73.6,484,
Trout, Mike,545361,2022,499,75.8,673,
Herrera, Odubel,546318,2022,197,89.1,238,
Almora Jr., Albert,546991,2022,235,83,271,
Harper, Bryce,547180,2022,426,80.1,579,
Perez, Roberto,547379,2022,69,74.1,85,
Abreu, Jose,547989,2022,679,85.3,871,
Diaz, Elias,553869,2022,381,87.1,497,
Narvaez, Omar,553882,2022,296,81.3,422,
Astudillo, Willians,553902,2022,55,89.3,56,
Suarez, Eugenio,553993,2022,629,76,804,
Urshela, Gio,570482,2022,551,84.6,697,
Schoop, Jonathan,570731,2022,510,81.2,655,
Arenado, Nolan,571448,2022,620,88.3,716,
Barnhart, Tucker,571466,2022,308,85,399,
Farmer, Kyle,571657,2022,583,89.7,671,
Haniger, Mitch,571745,2022,247,80.2,318,
Hernandez, Enrique,571771,2022,402,85.3,495,
Lamb, Jake,571875,2022,111,79.4,141,
Maile, Luke,571912,2022,206,80.4,271,
Muncy, Max,571970,2022,565,78.4,740,
Myers, Wil,571976,2022,286,76.4,351,
Naquin, Tyler,571980,2022,334,74.6,485,
Owings, Chris,572008,2022,68,68.1,69,
Piscotty, Stephen,572039,2022,139,73.5,185,
Pollock, AJ,572041,2022,527,84.8,665,
Taylor, Michael A.,572191,2022,456,79.7,605,
Thompson, Trayce,572204,2022,255,71.8,362,
Voit III, Luke,572228,2022,568,72.5,792,
Walker, Christian,572233,2022,667,84.4,832,
Zunino, Mike,572287,2022,123,74,150,
Carpenter, Matt,572761,2022,154,81.8,242,
Dickerson, Corey,572816,2022,297,82.9,409,
Ruf, Darin,573131,2022,388,80.6,458,
Yastrzemski, Mike,573262,2022,558,83,749,
Contreras, Willson,575929,2022,487,78.9,602,
Iglesias, Jose,578428,2022,467,92.4,529,
Bryant, Kris,592178,2022,181,86.8,242,
Canha, Mark,592192,2022,542,81.6,684,
Casali, Curt,592200,2022,176,77.8,284,
Castellanos, Nick,592206,2022,558,79.8,742,
Drury, Brandon,592273,2022,568,85.8,684,
Gamel, Ben,592325,2022,423,86.7,526,
Judge, Aaron,592450,2022,696,79.7,879,
Machado, Manny,592518,2022,644,82.3,814,
Moran, Colin,592567,2022,128,83.8,173,
Pederson, Joc,592626,2022,433,84.8,508,
Realmuto, J.T.,592663,2022,562,80.3,731,
Renfroe, Hunter,592669,2022,522,81.3,624,
Rosario, Eddie,592696,2022,270,77.6,312,
Simmons, Andrelton,592743,2022,85,84,94,
Yelich, Christian,592885,2022,671,85,854,
Merrifield, Whit,593160,2022,550,85.6,730,
Bogaerts, Xander,593428,2022,631,81.4,765,
Alberto, Hanser,593643,2022,159,80.4,194,
Polanco, Jorge,593871,2022,445,81.7,557,
Sano, Miguel,593934,2022,71,75.3,97,
Calhoun, Kole,594777,2022,424,72.5,600,
Duvall, Adam,594807,2022,315,78.6,402,
Gosselin, Phil,594838,2022,77,78.8,85,
Kiermaier, Kevin,595281,2022,221,78.8,316,
Alfaro, Jorge,595751,2022,274,72.1,390,
Profar, Jurickson,595777,2022,658,85.5,881,
Baez, Javier,595879,2022,590,77.8,580,
Cave, Jake,595909,2022,177,72.9,247,
