last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,f_strike_percent,
Wainwright, Adam,425794,2022,191.2,17.8,6.7,62.6,
Greinke, Zack,425844,2022,137.0,12.5,4.6,64.8,
Verlander, Justin,434378,2022,175.0,27.8,4.4,62,
Sanchez, Anibal,434671,2022,69.1,16.4,11.3,57.4,
Jansen, Kenley,445276,2022,64.0,32.7,8.5,68.7,
Chavez, Jesse,445926,2022,69.1,25.3,6.8,67.1,
Kluber, Corey,446372,2022,164.0,20.2,3.0,68.4,
Hill, Rich,448179,2022,124.1,20.7,7.0,63.3,
Morton, Charlie,450203,2022,172.0,28.2,8.7,58.7,
Kennedy, Ian,453178,2022,50.1,19.0,9.5,67,
Bard, Daniel,453268,2022,60.1,28.2,10.2,59.4,
Scherzer, Max,453286,2022,145.1,30.6,4.2,66.4,
Melancon, Mark,453343,2022,56.0,14.2,8.5,62.9,
Martin, Chris,455119,2022,56.0,32.9,2.2,77.8,
Price, David,456034,2022,40.1,22.2,5.4,66.9,
Cueto, Johnny,456501,2022,158.1,15.7,5.1,66.7,
Bush, Matt,456713,2022,59.2,30.3,7.4,65.3,
Lynn, Lance,458681,2022,121.2,24.2,3.7,65.4,
McGee, Jake,459429,2022,37.0,15.3,7.4,59.3,
Chacin, Jhoulys,468504,2022,47.1,16.9,9.6,57.5,
Carrasco, Carlos,471911,2022,152.0,23.6,6.4,68.4,
Garcia, Luis,472610,2022,61.0,26.3,6.6,60.1,
Phelps, David,475479,2022,63.2,23.5,11.4,59.6,
Luetge, Lucas,476595,2022,57.1,23.9,6.8,58.4,
Kershaw, Clayton,477132,2022,126.1,27.8,4.7,68.6,
Miley, Wade,489119,2022,37.0,17.6,8.8,66,
Stammen, Craig,489334,2022,40.2,19.8,5.6,62.7,
Ottavino, Adam,493603,2022,65.2,30.6,6.2,60.7,
Quintana, Jose,500779,2022,165.2,20.2,6.9,61.6,
Pineda, Michael,501381,2022,46.2,13.0,4.0,62,
Minor, Mike,501985,2022,98.0,16.7,8.8,60.2,
Archer, Chris,502042,2022,102.2,19.2,11.0,57,
Gibson, Kyle,502043,2022,167.2,20.1,6.7,58.9,
Robertson, David,502085,2022,63.2,30.7,13.3,66.2,
Cobb, Alex,502171,2022,149.2,23.9,6.8,64.5,
Espino, Paolo,502179,2022,113.1,18.9,4.9,58.7,
Boxberger, Brad,502202,2022,64.0,25.4,10.1,66.3,
Peralta, Wily,503449,2022,38.1,19.0,14.3,57.1,
Darvish, Yu,506433,2022,194.2,25.6,4.8,64.2,
Colome, Alex,517008,2022,47.0,14.9,10.2,53.3,
Brasier, Ryan,518489,2022,62.1,24.3,4.9,67.9,
Bumgarner, Madison,518516,2022,158.2,16.0,7.0,61.7,
Cishek, Steve,518553,2022,66.1,25.8,9.4,60.1,
Diekman, Jake,518617,2022,57.2,29.4,15.6,61.9,
Kelly, Merrill,518876,2022,200.1,22.0,7.6,62.4,
Kimbrel, Craig,518886,2022,60.0,27.7,10.8,63.6,
Moore, Matt,519043,2022,74.0,27.3,12.5,59.6,
Pressly, Ryan,519151,2022,48.1,35.7,7.1,65.2,
Smith, Will,519293,2022,59.0,24.9,9.6,66.8,
Strickland, Hunter,519326,2022,62.1,21.1,11.6,61.8,
Hendriks, Liam,521230,2022,57.2,36.2,6.8,63.4,
Kelly, Joe,523260,2022,37.0,31.2,13.5,53.5,
Perez, Martin,527048,2022,196.1,20.6,8.4,62.6,
Castellanos, Humberto,528748,2022,44.1,16.5,6.2,58.8,
Ramirez, Erasmo,541640,2022,86.1,17.6,4.0,65,
Anderson, Tyler,542881,2022,178.2,19.5,4.8,66.1,
Armstrong, Shawn,542888,2022,61.2,24.5,6.3,64.6,
Bass, Anthony,542914,2022,70.1,26.5,7.3,67.2,
Bleier, Richard,542947,2022,50.2,14.4,4.5,66.7,
Cole, Gerrit,543037,2022,200.2,32.4,6.3,61.5,
Eovaldi, Nathan,543135,2022,109.1,22.4,4.3,68,
Gray, Sonny,543243,2022,119.2,24.0,7.4,60.5,
Hand, Brad,543272,2022,45.0,19.2,11.6,56.3,
Hendricks, Kyle,543294,2022,84.1,18.5,6.7,62.9,
Lyles, Jordan,543475,2022,179.0,18.6,6.7,61.4,
McHugh, Collin,543521,2022,69.1,27.6,5.1,65.3,
Odorizzi, Jake,543606,2022,106.1,19.0,7.7,54.3,
Shaw, Bryan,543766,2022,58.1,19.9,10.0,60.4,
Banuelos, Manny,544365,2022,41.0,24.0,12.0,65.5,
Familia, Jeurys,544727,2022,44.1,20.1,10.8,51.5,
Lorenzen, Michael,547179,2022,97.2,20.7,10.7,62.3,
Chapman, Aroldis,547973,2022,36.1,26.9,17.5,55,
Raley, Brooks,548384,2022,53.2,27.9,6.8,63.5,
Stripling, Ross,548389,2022,134.1,20.7,3.7,70.3,
Garcia, Yimi,554340,2022,61.0,23.5,6.5,62.3,
Wheeler, Zack,554430,2022,153.0,26.9,5.6,67.2,
Matzek, Tyler,554431,2022,43.2,19.6,15.8,57.1,
Rodriguez, Joely,570257,2022,50.1,26.4,12.0,65.1,
Urena, Jose,570632,2022,97.0,14.6,10.0,58.3,
Cessa, Luis,570666,2022,80.2,17.6,8.3,62.1,
Bellatti, Andrew,571479,2022,54.1,33.9,10.9,55.7,
Corbin, Patrick,571578,2022,152.2,18.0,6.9,69,
Farmer, Buck,571656,2022,47.0,27.1,12.6,62.8,
Floro, Dylan,571670,2022,53.2,21.8,6.8,64.7,
Givens, Mychal,571710,2022,61.1,27.3,9.6,57.9,
Heaney, Andrew,571760,2022,72.2,35.5,6.1,67.7,
Hutchison, Drew,571800,2022,105.1,14.7,9.1,60.5,
Loup, Aaron,571901,2022,58.2,20.0,8.5,58.8,
Matz, Steven,571927,2022,48.0,26.1,4.8,64.3,
Mikolas, Miles,571945,2022,202.1,19.0,4.8,63.4,
Milner, Hoby,571948,2022,64.2,23.5,5.5,57,
Richards, Garrett,572070,2022,42.2,19.5,7.0,58.9,
Tepera, Ryan,572193,2022,57.1,20.3,8.6,59.6,
Keuchel, Dallas,572971,2022,60.2,14.9,10.2,58.4,
Mantiply, Joe,573009,2022,60.0,25.1,2.5,63,
Rogers, Taylor,573124,2022,64.1,30.7,6.9,68.8,
Stroman, Marcus,573186,2022,138.2,20.9,6.3,66.8,
Thielbar, Caleb,573204,2022,59.1,32.7,7.3,69.3,
Kikuchi, Yusei,579328,2022,100.2,27.3,12.8,57.3,
Adam, Jason,592094,2022,63.1,31.6,7.2,64.1,
Gausman, Kevin,592332,2022,174.2,28.3,3.9,68,
Gray, Jon,592351,2022,127.1,25.7,7.5,67.6,
Ray, Robbie,592662,2022,189.0,27.4,8.0,64.4,
Sampson, Adrian,592716,2022,104.1,17.1,6.3,57.7,
Sanchez, Aaron,592717,2022,60.0,15.5,5.7,61.9,
Smith, Caleb,592761,2022,70.0,21.5,12.9,62.6,
Smyly, Drew,592767,2022,106.1,20.4,5.8,68.5,
Stanek, Ryne,592773,2022,54.2,27.7,13.8,60.5,
Syndergaard, Noah,592789,2022,134.2,16.8,5.5,65.3,
Taillon, Jameson,592791,2022,177.1,20.7,4.4,63.7,
Velasquez, Vince,592826,2022,75.1,21.6,7.8,62.4,
Walker, Taijuan,592836,2022,157.1,20.3,6.9,62.7,
Wick, Rowan,592858,2022,64.0,23.5,9.9,59.6,
Williams, Trevor,592866,2022,89.2,22.6,6.2,68.5,
German, Domingo,593334,2022,72.1,19.5,6.4,65.8,
Montas, Frankie,593423,2022,144.1,23.4,7.1,60.9,
Neris, Hector,593576,2022,65.1,30.0,6.5,59.3,
Rodriguez, Eduardo,593958,2022,91.0,18.4,8.7,63.9,
Peralta, Wandy,593974,2022,56.1,21.1,7.6,59,
Mayers, Mike,594577,2022,50.2,20.2,8.1,57.8,
Moll, Sam,594580,2022,43.1,24.6,11.8,52.5,
deGrom, Jacob,594798,2022,64.1,42.7,3.3,69.9,
Gonzales, Marco,594835,2022,183.0,13.2,6.4,63.1,
Okert, Steven,595345,2022,51.1,28.5,11.8,57.5,
Beede, Tyler,595881,2022,61.1,13.7,10.2,55.1,
Junis, Jakob,596001,2022,112.0,20.5,5.2,67.2,
Norris, Daniel,596057,2022,58.2,26.4,11.6,58.2,
Peters, Dillon,596071,2022,39.1,15.8,10.3,55.8,
Stephenson, Robert,596112,2022,58.0,22.3,5.7,62.8,
Weaver, Luke,596133,2022,35.2,21.8,7.5,55.7,
Gomber, Austin,596295,2022,124.2,18.0,6.4,59.2,
Barnes, Matt,598264,2022,39.2,19.3,11.9,62.9,
Ramirez, Noe,598287,2022,50.0,23.7,12.1,62,
Leclerc, Jose,600917,2022,47.2,27.3,10.6,65.2,
Machado, Andres,600921,2022,59.1,17.6,10.0,60.7,
Pivetta, Nick,601713,2022,179.2,22.6,9.4,60,
Barlow, Scott,605130,2022,74.1,26.6,7.6,61,
Bassitt, Chris,605135,2022,181.2,22.4,6.6,60.9,
Brebbia, John,605154,2022,68.0,18.8,6.3,69.2,
Bundy, Dylan,605164,2022,140.0,15.8,4.7,67.9,
Chafin, Andrew,605177,2022,57.1,27.6,7.8,63.4,
Clevinger, Mike,605182,2022,114.1,18.8,7.2,60.6,
Cotton, Jharel,605194,2022,43.0,21.5,11.0,58,
Davies, Zach,605200,2022,134.1,17.9,9.1,55.8,
Edwards Jr., Carl,605218,2022,62.0,21.9,9.8,61.3,
Fulmer, Michael,605242,2022,63.2,22.1,10.1,55.9,
Holmes, Clay,605280,2022,63.2,25.0,7.7,56,
Houser, Adrian,605288,2022,102.2,15.2,10.3,57.7,
Lopez, Jorge,605347,2022,71.0,24.2,10.4,63.1,
Musgrove, Joe,605397,2022,181.0,24.9,5.7,64.5,
Nola, Aaron,605400,2022,205.0,29.1,3.6,70.1,
Romano, Jordan,605447,2022,64.0,28.3,8.1,70.1,
Snell, Blake,605483,2022,128.0,32.0,9.5,64.7,
Springs, Jeffrey,605488,2022,135.1,26.2,5.6,64.1,
Thompson, Zach,605507,2022,121.2,16.6,8.5,63,
Warren, Art,605521,2022,36.0,24.2,13.3,59.1,
Wisler, Matt,605538,2022,44.0,19.9,8.0,64.6,
