last_name, first_name,player_id,year,b_total_pa,isolated_power,
Pujols, Albert,405395,2022,351,.280,
Cabrera, Miguel,408234,2022,433,.063,
Molina, Yadier,425877,2022,270,.088,
Cano, Robinson,429664,2022,104,.040,
Suzuki, Kurt,435559,2022,159,.115,
Cruz Jr., Nelson,443558,2022,507,.103,
Peralta, David,444482,2022,490,.164,
Escobar, Alcides,444876,2022,131,.065,
Longoria, Evan,446334,2022,298,.207,
Blackmon, Charlie,453568,2022,577,.155,
Maldonado, Martin,455117,2022,379,.166,
Chirinos, Robinson,455139,2022,220,.108,
Cain, Lorenzo,456715,2022,156,.055,
Solano, Donovan,456781,2022,304,.101,
McCutchen, Andrew,457705,2022,580,.148,
Upton, Justin,457708,2022,57,.083,
Turner, Justin,457759,2022,532,.160,
Votto, Joey,458015,2022,376,.165,
Andrus, Elvis,462101,2022,577,.155,
Santana, Carlos,467793,2022,506,.174,
Belt, Brandon,474832,2022,298,.138,
Lowrie, Jed,476704,2022,184,.084,
Brantley Jr., Michael,488726,2022,277,.128,
Castro, Jason,488771,2022,88,.064,
Gurriel, Yuli,493329,2022,584,.117,
Rojas, Miguel,500743,2022,507,.087,
Escobar, Eduardo,500871,2022,542,.190,
Adrianza, Ehire,501303,2022,110,.031,
Lagares, Juan,501571,2022,62,.067,
Pham, Tommy,502054,2022,622,.137,
Martinez, J.D.,502110,2022,596,.174,
Goldschmidt, Paul,502671,2022,651,.260,
Gonzalez, Marwin,503556,2022,207,.136,
Leon, Sandy,506702,2022,86,.042,
Altuve, Jose,514888,2022,604,.233,
Hernandez, Cesar,514917,2022,617,.070,
Segura, Jean,516416,2022,387,.110,
Marte, Starling,516782,2022,505,.176,
Culberson, Charlie,518586,2022,124,.104,
d'Arnaud, Travis,518595,2022,426,.205,
Donaldson, Josh,518626,2022,546,.153,
Freeman, Freddie,518692,2022,708,.186,
Grandal, Yasmani,518735,2022,376,.067,
Heyward, Jason,518792,2022,151,.073,
LeMahieu, DJ,518934,2022,541,.116,
Moustakas, Mike,519058,2022,285,.131,
Rizzo, Anthony,519203,2022,548,.256,
Romine, Austin,519222,2022,136,.093,
Stanton, Giancarlo,519317,2022,452,.251,
Vogt, Stephen,519390,2022,191,.161,
Perez, Salvador,521692,2022,473,.211,
Flores, Wilmer,527038,2022,602,.166,
Garcia, Avisail,541645,2022,380,.092,
Bethancourt, Christian,542194,2022,333,.157,
Ozuna, Marcell,542303,2022,507,.187,
Villar, Jonathan,542340,2022,220,.094,
Ortega, Rafael,542364,2022,371,.117,
Aguilar, Jesus,542583,2022,507,.144,
Berti, Jon,542932,2022,404,.098,
Crawford, Brandon,543063,2022,458,.113,
Cron, C.J.,543068,2022,632,.210,
Gomes, Yan,543228,2022,293,.130,
Grossman, Robbie,543257,2022,477,.102,
Harrison, Josh,543281,2022,425,.114,
Hicks, Aaron,543305,2022,453,.096,
Higashioka, Kyle,543309,2022,248,.162,
Hosmer, Eric,543333,2022,419,.113,
McCann, James,543510,2022,191,.086,
Miller, Brad,543543,2022,241,.108,
Nola, Austin,543592,2022,397,.078,
Rendon, Anthony,543685,2022,193,.151,
Semien, Marcus,543760,2022,724,.181,
Springer III, George,543807,2022,583,.205,
Strange-Gordon, Dee,543829,2022,59,.051,
Vazquez, Christian,543877,2022,426,.126,
Wong, Kolten,543939,2022,497,.179,
Gregorius, Didi,544369,2022,232,.093,
Garcia, Leury,544725,2022,315,.057,
Vargas, Ildemaro,545121,2022,222,.129,
Grichuk, Randal,545341,2022,538,.166,
Marisnick, Jake,545350,2022,82,.156,
Stassi, Max,545358,2022,375,.123,
Trout, Mike,545361,2022,499,.347,
Herrera, Odubel,546318,2022,197,.141,
Almora Jr., Albert,546991,2022,235,.126,
Harper, Bryce,547180,2022,426,.227,
Perez, Roberto,547379,2022,69,.133,
Abreu, Jose,547989,2022,679,.141,
Diaz, Elias,553869,2022,381,.140,
Narvaez, Omar,553882,2022,296,.099,
Astudillo, Willians,553902,2022,55,.056,
Suarez, Eugenio,553993,2022,629,.223,
Urshela, Gio,570482,2022,551,.144,
Schoop, Jonathan,570731,2022,510,.121,
Arenado, Nolan,571448,2022,620,.241,
Barnhart, Tucker,571466,2022,308,.046,
Farmer, Kyle,571657,2022,583,.131,
Haniger, Mitch,571745,2022,247,.183,
Hernandez, Enrique,571771,2022,402,.116,
Lamb, Jake,571875,2022,111,.175,
Maile, Luke,571912,2022,206,.105,
Muncy, Max,571970,2022,565,.188,
Myers, Wil,571976,2022,286,.138,
Naquin, Tyler,571980,2022,334,.194,
Owings, Chris,572008,2022,68,.036,
Piscotty, Stephen,572039,2022,139,.151,
Pollock, AJ,572041,2022,527,.143,
Taylor, Michael A.,572191,2022,456,.104,
Thompson, Trayce,572204,2022,255,.251,
Voit III, Luke,572228,2022,568,.176,
Walker, Christian,572233,2022,667,.235,
Zunino, Mike,572287,2022,123,.157,
Carpenter, Matt,572761,2022,154,.422,
Dickerson, Corey,572816,2022,297,.132,
Ruf, Darin,573131,2022,388,.135,
Yastrzemski, Mike,573262,2022,558,.177,
Contreras, Willson,575929,2022,487,.224,
Iglesias, Jose,578428,2022,467,.089,
Bryant, Kris,592178,2022,181,.169,
Canha, Mark,592192,2022,542,.136,
Casali, Curt,592200,2022,176,.128,
Castellanos, Nick,592206,2022,558,.126,
Drury, Brandon,592273,2022,568,.230,
Gamel, Ben,592325,2022,423,.137,
Judge, Aaron,592450,2022,696,.375,
Machado, Manny,592518,2022,644,.234,
Moran, Colin,592567,2022,128,.165,
Pederson, Joc,592626,2022,433,.247,
Realmuto, J.T.,592663,2022,562,.202,
Renfroe, Hunter,592669,2022,522,.236,
Rosario, Eddie,592696,2022,270,.116,
Simmons, Andrelton,592743,2022,85,.013,
Yelich, Christian,592885,2022,671,.130,
Merrifield, Whit,593160,2022,550,.125,
Bogaerts, Xander,593428,2022,631,.149,
Alberto, Hanser,593643,2022,159,.122,
Polanco, Jorge,593871,2022,445,.171,
Sano, Miguel,593934,2022,71,.050,
Calhoun, Kole,594777,2022,424,.134,
Duvall, Adam,594807,2022,315,.188,
Gosselin, Phil,594838,2022,77,.027,
Kiermaier, Kevin,595281,2022,221,.141,
Alfaro, Jorge,595751,2022,274,.137,
Profar, Jurickson,595777,2022,658,.148,
Baez, Javier,595879,2022,590,.155,
Cave, Jake,595909,2022,177,.171,
Hedges, Austin,595978,2022,338,.085,
Lindor, Francisco,596019,2022,706,.179,
Odor, Rougned,596059,2022,472,.150,
Slater, Austin,596103,2022,325,.144,
Story, Trevor,596115,2022,396,.196,
Stubbs, Garrett,596117,2022,121,.198,
Vogelbach, Daniel,596129,2022,461,.194,
Sanchez, Gary,596142,2022,471,.172,
Kepler, Max,596146,2022,446,.121,
Quinn, Roman,596451,2022,87,.089,
Franco, Maikel,596748,2022,388,.113,
Choi, Ji-Man,596847,2022,419,.154,
Bradley Jr., Jackie,598265,2022,370,.108,
