last_name, first_name,player_id,year,b_total_pa,hp_to_1b,
Pujols, Albert,405395,2022,351,5.08,
Cabrera, Miguel,408234,2022,433,5.13,
Molina, Yadier,425877,2022,270,5.07,
Cano, Robinson,429664,2022,104,4.74,
Suzuki, Kurt,435559,2022,159,5.01,
Cruz Jr., Nelson,443558,2022,507,4.81,
Peralta, David,444482,2022,490,4.44,
Escobar, Alcides,444876,2022,131,4.39,
Longoria, Evan,446334,2022,298,4.71,
Blackmon, Charlie,453568,2022,577,4.36,
Maldonado, Martin,455117,2022,379,5.05,
Chirinos, Robinson,455139,2022,220,5.11,
Cain, Lorenzo,456715,2022,156,4.4,
Solano, Donovan,456781,2022,304,4.62,
McCutchen, Andrew,457705,2022,580,4.38,
Upton, Justin,457708,2022,57,,
Turner, Justin,457759,2022,532,4.86,
Votto, Joey,458015,2022,376,4.75,
Andrus, Elvis,462101,2022,577,4.6,
Santana, Carlos,467793,2022,506,4.67,
Belt, Brandon,474832,2022,298,4.8,
Lowrie, Jed,476704,2022,184,4.92,
Brantley Jr., Michael,488726,2022,277,4.72,
Castro, Jason,488771,2022,88,4.54,
Gurriel, Yuli,493329,2022,584,4.45,
Rojas, Miguel,500743,2022,507,4.61,
Escobar, Eduardo,500871,2022,542,4.29,
Adrianza, Ehire,501303,2022,110,4.37,
Lagares, Juan,501571,2022,62,4.49,
Pham, Tommy,502054,2022,622,4.54,
Martinez, J.D.,502110,2022,596,4.68,
Goldschmidt, Paul,502671,2022,651,4.61,
Gonzalez, Marwin,503556,2022,207,4.55,
Leon, Sandy,506702,2022,86,,
Altuve, Jose,514888,2022,604,4.24,
Hernandez, Cesar,514917,2022,617,4.26,
Segura, Jean,516416,2022,387,4.32,
Marte, Starling,516782,2022,505,4.28,
Culberson, Charlie,518586,2022,124,4.33,
d'Arnaud, Travis,518595,2022,426,4.69,
Donaldson, Josh,518626,2022,546,4.59,
Freeman, Freddie,518692,2022,708,4.48,
Grandal, Yasmani,518735,2022,376,5.26,
Heyward, Jason,518792,2022,151,4.43,
LeMahieu, DJ,518934,2022,541,4.7,
Moustakas, Mike,519058,2022,285,4.77,
Rizzo, Anthony,519203,2022,548,4.65,
Romine, Austin,519222,2022,136,4.85,
Stanton, Giancarlo,519317,2022,452,5.08,
Vogt, Stephen,519390,2022,191,4.57,
Perez, Salvador,521692,2022,473,4.78,
Flores, Wilmer,527038,2022,602,4.71,
Garcia, Avisail,541645,2022,380,4.54,
Bethancourt, Christian,542194,2022,333,4.43,
Ozuna, Marcell,542303,2022,507,4.67,
Villar, Jonathan,542340,2022,220,4.42,
Ortega, Rafael,542364,2022,371,4.53,
Aguilar, Jesus,542583,2022,507,5.01,
Berti, Jon,542932,2022,404,4.26,
Crawford, Brandon,543063,2022,458,4.54,
Cron, C.J.,543068,2022,632,4.84,
Gomes, Yan,543228,2022,293,4.72,
Grossman, Robbie,543257,2022,477,4.39,
Harrison, Josh,543281,2022,425,4.49,
Hicks, Aaron,543305,2022,453,4.26,
Higashioka, Kyle,543309,2022,248,4.72,
Hosmer, Eric,543333,2022,419,4.57,
McCann, James,543510,2022,191,4.76,
Miller, Brad,543543,2022,241,4.44,
Nola, Austin,543592,2022,397,4.74,
Rendon, Anthony,543685,2022,193,4.69,
Semien, Marcus,543760,2022,724,4.37,
Springer III, George,543807,2022,583,4.37,
Strange-Gordon, Dee,543829,2022,59,4.13,
Vazquez, Christian,543877,2022,426,4.67,
Wong, Kolten,543939,2022,497,4.45,
Gregorius, Didi,544369,2022,232,4.38,
Garcia, Leury,544725,2022,315,4.18,
