last_name, first_name,player_id,year,b_total_pa,sprint_speed,
Pujols, Albert,405395,2022,351,22.6,
Cabrera, Miguel,408234,2022,433,23.1,
Molina, Yadier,425877,2022,270,21.8,
Cano, Robinson,429664,2022,104,24.3,
Suzuki, Kurt,435559,2022,159,24.2,
Cruz Jr., Nelson,443558,2022,507,25.5,
Peralta, David,444482,2022,490,27.6,
Escobar, Alcides,444876,2022,131,28.2,
Longoria, Evan,446334,2022,298,25.3,
Blackmon, Charlie,453568,2022,577,27.9,
Maldonado, Martin,455117,2022,379,22.3,
Chirinos, Robinson,455139,2022,220,23.7,
Cain, Lorenzo,456715,2022,156,28.3,
Solano, Donovan,456781,2022,304,25.8,
McCutchen, Andrew,457705,2022,580,28.9,
Upton, Justin,457708,2022,57,27.1,
Turner, Justin,457759,2022,532,25.0,
Votto, Joey,458015,2022,376,25.3,
Andrus, Elvis,462101,2022,577,26.0,
Santana, Carlos,467793,2022,506,25.8,
Belt, Brandon,474832,2022,298,24.3,
Lowrie, Jed,476704,2022,184,25.0,
Brantley Jr., Michael,488726,2022,277,25.2,
Castro, Jason,488771,2022,88,26.3,
Gurriel, Yuli,493329,2022,584,26.8,
Rojas, Miguel,500743,2022,507,26.4,
Escobar, Eduardo,500871,2022,542,27.9,
Adrianza, Ehire,501303,2022,110,26.5,
Lagares, Juan,501571,2022,62,27.5,
Pham, Tommy,502054,2022,622,27.9,
Martinez, J.D.,502110,2022,596,26.1,
Goldschmidt, Paul,502671,2022,651,26.2,
Gonzalez, Marwin,503556,2022,207,26.3,
Leon, Sandy,506702,2022,86,23.6,
Altuve, Jose,514888,2022,604,27.9,
Hernandez, Cesar,514917,2022,617,28.3,
Segura, Jean,516416,2022,387,27.7,
Marte, Starling,516782,2022,505,28.0,
Culberson, Charlie,518586,2022,124,27.9,
d'Arnaud, Travis,518595,2022,426,26.1,
Donaldson, Josh,518626,2022,546,25.6,
Freeman, Freddie,518692,2022,708,26.9,
Grandal, Yasmani,518735,2022,376,22.0,
Heyward, Jason,518792,2022,151,27.0,
LeMahieu, DJ,518934,2022,541,26.4,
Moustakas, Mike,519058,2022,285,25.0,
Rizzo, Anthony,519203,2022,548,25.5,
Romine, Austin,519222,2022,136,24.8,
Stanton, Giancarlo,519317,2022,452,24.4,
Vogt, Stephen,519390,2022,191,25.7,
Perez, Salvador,521692,2022,473,25.3,
Flores, Wilmer,527038,2022,602,25.2,
Garcia, Avisail,541645,2022,380,28.3,
Bethancourt, Christian,542194,2022,333,28.1,
Ozuna, Marcell,542303,2022,507,26.6,
Villar, Jonathan,542340,2022,220,26.8,
Ortega, Rafael,542364,2022,371,27.0,
Aguilar, Jesus,542583,2022,507,23.9,
Berti, Jon,542932,2022,404,29.6,
Crawford, Brandon,543063,2022,458,25.3,
Cron, C.J.,543068,2022,632,25.2,
Gomes, Yan,543228,2022,293,26.3,
Grossman, Robbie,543257,2022,477,27.9,
Harrison, Josh,543281,2022,425,27.0,
Hicks, Aaron,543305,2022,453,27.9,
Higashioka, Kyle,543309,2022,248,25.9,
Hosmer, Eric,543333,2022,419,25.8,
McCann, James,543510,2022,191,26.1,
Miller, Brad,543543,2022,241,27.1,
Nola, Austin,543592,2022,397,26.5,
Rendon, Anthony,543685,2022,193,26.2,
Semien, Marcus,543760,2022,724,28.9,
Springer III, George,543807,2022,583,28.3,
Strange-Gordon, Dee,543829,2022,59,28.4,
Vazquez, Christian,543877,2022,426,25.5,
Wong, Kolten,543939,2022,497,26.0,
Gregorius, Didi,544369,2022,232,27.3,
Garcia, Leury,544725,2022,315,28.4,
Vargas, Ildemaro,545121,2022,222,27.1,
Grichuk, Randal,545341,2022,538,28.0,
Marisnick, Jake,545350,2022,82,28.7,
Stassi, Max,545358,2022,375,25.6,
Trout, Mike,545361,2022,499,29.4,
Herrera, Odubel,546318,2022,197,26.9,
Almora Jr., Albert,546991,2022,235,27.6,
Harper, Bryce,547180,2022,426,27.6,
Perez, Roberto,547379,2022,69,24.8,
Abreu, Jose,547989,2022,679,26.0,
Diaz, Elias,553869,2022,381,26.1,
Narvaez, Omar,553882,2022,296,24.1,
Astudillo, Willians,553902,2022,55,24.4,
Suarez, Eugenio,553993,2022,629,25.7,
Urshela, Gio,570482,2022,551,25.8,
Schoop, Jonathan,570731,2022,510,27.0,
Arenado, Nolan,571448,2022,620,25.5,
Barnhart, Tucker,571466,2022,308,23.8,
Farmer, Kyle,571657,2022,583,26.8,
Haniger, Mitch,571745,2022,247,26.9,
Hernandez, Enrique,571771,2022,402,26.9,
Lamb, Jake,571875,2022,111,26.1,
Maile, Luke,571912,2022,206,25.5,
Muncy, Max,571970,2022,565,27.2,
Myers, Wil,571976,2022,286,28.2,
Naquin, Tyler,571980,2022,334,27.7,
Owings, Chris,572008,2022,68,27.8,
Piscotty, Stephen,572039,2022,139,25.0,
Pollock, AJ,572041,2022,527,27.8,
Taylor, Michael A.,572191,2022,456,28.7,
Thompson, Trayce,572204,2022,255,27.8,
Voit III, Luke,572228,2022,568,24.7,
Walker, Christian,572233,2022,667,26.6,
Zunino, Mike,572287,2022,123,25.5,
Carpenter, Matt,572761,2022,154,26.1,
Dickerson, Corey,572816,2022,297,27.0,
Ruf, Darin,573131,2022,388,25.7,
Yastrzemski, Mike,573262,2022,558,27.0,
Contreras, Willson,575929,2022,487,27.6,
Iglesias, Jose,578428,2022,467,28.4,
Bryant, Kris,592178,2022,181,27.3,
Canha, Mark,592192,2022,542,27.5,
Casali, Curt,592200,2022,176,24.6,
Castellanos, Nick,592206,2022,558,27.6,
Drury, Brandon,592273,2022,568,27.0,
Gamel, Ben,592325,2022,423,27.9,
Judge, Aaron,592450,2022,696,27.3,
Machado, Manny,592518,2022,644,26.3,
Moran, Colin,592567,2022,128,24.0,
Pederson, Joc,592626,2022,433,26.0,
Realmuto, J.T.,592663,2022,562,28.7,
Renfroe, Hunter,592669,2022,522,27.1,
Rosario, Eddie,592696,2022,270,27.6,
Simmons, Andrelton,592743,2022,85,26.7,
Yelich, Christian,592885,2022,671,28.1,
Merrifield, Whit,593160,2022,550,28.7,
Bogaerts, Xander,593428,2022,631,27.9,
Alberto, Hanser,593643,2022,159,26.0,
Polanco, Jorge,593871,2022,445,28.2,
Sano, Miguel,593934,2022,71,26.7,
Calhoun, Kole,594777,2022,424,25.3,
Duvall, Adam,594807,2022,315,27.9,
Gosselin, Phil,594838,2022,77,28.8,
Kiermaier, Kevin,595281,2022,221,29.2,
Alfaro, Jorge,595751,2022,274,28.7,
Profar, Jurickson,595777,2022,658,26.6,
Baez, Javier,595879,2022,590,27.9,
Cave, Jake,595909,2022,177,28.0,
Hedges, Austin,595978,2022,338,24.4,
Lindor, Francisco,596019,2022,706,27.5,
Odor, Rougned,596059,2022,472,27.0,
Slater, Austin,596103,2022,325,28.2,
Story, Trevor,596115,2022,396,28.5,
Stubbs, Garrett,596117,2022,121,27.3,
Vogelbach, Daniel,596129,2022,461,23.9,
Sanchez, Gary,596142,2022,471,25.1,
Kepler, Max,596146,2022,446,27.9,
Quinn, Roman,596451,2022,87,29.6,
Franco, Maikel,596748,2022,388,25.5,
Choi, Ji-Man,596847,2022,419,25.0,
Bradley Jr., Jackie,598265,2022,370,27.0,
La Stella, Tommy,600303,2022,195,24.9,
Candelario, Jeimer,600869,2022,467,27.3,
Daza, Yonathan,602074,2022,408,28.2,
Urias, Ramon,602104,2022,445,26.7,
Ahmed, Nick,605113,2022,54,27.9,
Anderson, Brian,605119,2022,383,27.5,
Barnes, Austin,605131,2022,212,26.7,
Bell, Josh,605137,2022,647,26.2,
Betts, Mookie,605141,2022,639,27.3,
Caratini, Victor,605170,2022,314,24.9,
Davis, J.D.,605204,2022,365,26.5,
Garcia, Aramis,605244,2022,115,26.0,
Machin, Vimael,605353,2022,253,25.5,
Perez, Michael,605421,2022,132,24.4,
Zimmer, Bradley,605548,2022,117,29.2,
Castro, Harold,605612,2022,443,26.2,
Arcia, Orlando,606115,2022,234,26.5,
Tapia, Raimel,606132,2022,433,28.2,
Aquino, Aristides,606157,2022,276,28.8,
Hernandez, Teoscar,606192,2022,535,28.6,
Mercedes, Yermin,606213,2022,83,25.9,
Marte, Ketel,606466,2022,558,27.0,
Haase, Eric,606992,2022,351,27.9,
Hager, Jake,606993,2022,59,27.2,
Nimmo, Brandon,607043,2022,673,28.7,
Peterson, Jace,607054,2022,328,28.5,
Turner, Trea,607208,2022,708,30.3,
Stallings, Jacob,607732,2022,384,23.7,
Ramirez, Jose,608070,2022,685,28.5,
Bregman, Alex,608324,2022,656,26.5,
Gallo, Joey,608336,2022,410,27.1,
Kelly, Carson,608348,2022,354,25.6,
Seager, Corey,608369,2022,663,26.1,
Winker, Jesse,608385,2022,547,25.4,
Mazara, Nomar,608577,2022,171,26.3,
Jankowski, Travis,608671,2022,64,29.0,
Mayfield, Jack,608686,2022,74,27.3,
Plawecki, Kevin,608700,2022,186,24.8,
Refsnyder, Rob,608701,2022,177,27.1,
Reynolds, Matt,608703,2022,272,27.4,
Meneses, Joey,608841,2022,240,25.8,
Mondesi, Adalberto,609275,2022,54,27.4,
Andujar, Miguel,609280,2022,140,27.4,
Vosler, Jason,613564,2022,111,26.7,
Cordero, Franchy,614173,2022,275,28.6,
Reyes, Franmil,614177,2022,473,26.0,
Torrens, Luis,620443,2022,166,26.0,
Swanson, Dansby,621020,2022,696,28.4,
Newman, Kevin,621028,2022,309,27.9,
Taylor, Chris,621035,2022,454,28.5,
Correa, Carlos,621043,2022,590,27.1,
Phillips, Brett,621433,2022,225,28.9,
Taylor, Tyrone,621438,2022,405,28.5,
Buxton, Byron,621439,2022,382,29.1,
Bolt, Skye,621450,2022,116,27.8,
Duggar, Steven,621453,2022,80,28.0,
Rios, Edwin,621458,2022,92,25.3,
Ward, Taylor,621493,2022,564,28.4,
Nido, Tomas,621512,2022,313,25.6,
Bemboom, Anthony,621532,2022,59,26.9,
Wisdom, Patrick,621550,2022,534,27.8,
Wendle, Joey,621563,2022,371,27.3,
Olson, Matt,621566,2022,699,26.3,
Duffy, Matt,622110,2022,247,26.8,
Munoz, Yairo,622168,2022,60,28.6,
Walton, Donovan,622268,2022,78,27.6,
Margot, Manuel,622534,2022,363,27.9,
Camargo, Johan,622666,2022,166,24.8,
Reyes, Victor,622682,2022,336,27.5,
Mateo, Jorge,622761,2022,533,30.1,
Heineman, Tyler,623168,2022,174,26.7,
Velazquez, Andrew,623205,2022,349,29.2,
Bote, David,623520,2022,127,26.7,
Ramirez, Harold,623912,2022,435,28.1,
Santander, Anthony,623993,2022,647,26.4,
Alonso, Pete,624413,2022,685,25.6,
Arroyo, Christian,624414,2022,300,27.8,
Biggio, Cavan,624415,2022,303,28.5,
Frazier, Adam,624428,2022,602,26.8,
Trevino, Jose,624431,2022,353,25.1,
Gordon, Nick,624503,2022,443,27.8,
McGuire, Reese,624512,2022,274,26.0,
Soler, Jorge,624585,2022,306,26.9,
Sosa, Edmundo,624641,2022,190,29.5,
Heredia, Guillermo,628338,2022,82,28.0,
Hernandez, Yadiel,628450,2022,327,25.6,
Ibanez, Andy,628451,2022,128,27.5,
Cronenworth, Jake,630105,2022,684,28.2,
Meadows, Austin,640457,2022,147,27.2,
Mercado, Oscar,640458,2022,128,28.3,
Pinder, Chad,640461,2022,379,25.9,
Azocar, Jose,640492,2022,216,29.5,
Anderson, Tim,641313,2022,351,28.3,
Bellinger, Cody,641355,2022,550,28.1,
Calhoun, Willie,641432,2022,62,25.9,
Collins, Zack,641470,2022,108,24.2,
Crawford, J.P.,641487,2022,603,26.9,
