last_name, first_name,player_id,year,p_game,p_formatted_ip,p_total_pitches,
Wainwright, Adam,425794,2022,32,191.2,3133,
Greinke, Zack,425844,2022,26,137.0,2272,
Verlander, Justin,434378,2022,28,175.0,2607,
Sanchez, Anibal,434671,2022,14,69.1,1232,
Jansen, Kenley,445276,2022,65,64.0,1006,
Chavez, Jesse,445926,2022,60,69.1,1202,
Kluber, Corey,446372,2022,31,164.0,2454,
Hill, Rich,448179,2022,26,124.1,1990,
Morton, Charlie,450203,2022,31,172.0,2903,
Kennedy, Ian,453178,2022,57,50.1,867,
Bard, Daniel,453268,2022,57,60.1,953,
Scherzer, Max,453286,2022,23,145.1,2167,
Melancon, Mark,453343,2022,62,56.0,886,
Martin, Chris,455119,2022,60,56.0,858,
Price, David,456034,2022,40,40.1,596,
Cueto, Johnny,456501,2022,25,158.1,2372,
Bush, Matt,456713,2022,65,59.2,909,
Lynn, Lance,458681,2022,21,121.2,2022,
McGee, Jake,459429,2022,42,37.0,629,
Chacin, Jhoulys,468504,2022,35,47.1,786,
Carrasco, Carlos,471911,2022,29,152.0,2412,
Garcia, Luis,472610,2022,64,61.0,966,
Phelps, David,475479,2022,65,63.2,1151,
Luetge, Lucas,476595,2022,50,57.1,971,
Kershaw, Clayton,477132,2022,22,126.1,1842,
Miley, Wade,489119,2022,9,37.0,566,
Stammen, Craig,489334,2022,33,40.2,701,
Ottavino, Adam,493603,2022,66,65.2,1057,
Quintana, Jose,500779,2022,32,165.2,2724,
Pineda, Michael,501381,2022,11,46.2,731,
Minor, Mike,501985,2022,19,98.0,1750,
Archer, Chris,502042,2022,25,102.2,1787,
Gibson, Kyle,502043,2022,31,167.2,2739,
Robertson, David,502085,2022,58,63.2,1060,
Cobb, Alex,502171,2022,28,149.2,2418,
Espino, Paolo,502179,2022,42,113.1,1873,
Boxberger, Brad,502202,2022,70,64.0,1090,
Peralta, Wily,503449,2022,28,38.1,694,
Darvish, Yu,506433,2022,30,194.2,2971,
Colome, Alex,517008,2022,53,47.0,803,
Brasier, Ryan,518489,2022,68,62.1,985,
Bumgarner, Madison,518516,2022,30,158.2,2715,
Cishek, Steve,518553,2022,69,66.1,1175,
Diekman, Jake,518617,2022,70,57.2,1172,
Kelly, Merrill,518876,2022,33,200.1,3071,
Kimbrel, Craig,518886,2022,63,60.0,1077,
Moore, Matt,519043,2022,63,74.0,1248,
Pressly, Ryan,519151,2022,50,48.1,711,
Smith, Will,519293,2022,65,59.0,985,
Strickland, Hunter,519326,2022,66,62.1,1099,
Hendriks, Liam,521230,2022,58,57.2,948,
Kelly, Joe,523260,2022,43,37.0,703,
Perez, Martin,527048,2022,32,196.1,2979,
Castellanos, Humberto,528748,2022,11,44.1,748,
Ramirez, Erasmo,541640,2022,60,86.1,1222,
Anderson, Tyler,542881,2022,30,178.2,2576,
Armstrong, Shawn,542888,2022,50,61.2,1047,
Bass, Anthony,542914,2022,73,70.1,986,
Bleier, Richard,542947,2022,55,50.2,768,
Cole, Gerrit,543037,2022,33,200.2,3274,
Eovaldi, Nathan,543135,2022,20,109.1,1739,
Gray, Sonny,543243,2022,24,119.2,1872,
Hand, Brad,543272,2022,55,45.0,817,
Hendricks, Kyle,543294,2022,16,84.1,1347,
Lyles, Jordan,543475,2022,32,179.0,2988,
McHugh, Collin,543521,2022,58,69.1,1086,
Odorizzi, Jake,543606,2022,22,106.1,1798,
Shaw, Bryan,543766,2022,60,58.1,969,
Banuelos, Manny,544365,2022,35,41.0,718,
Familia, Jeurys,544727,2022,48,44.1,817,
Lorenzen, Michael,547179,2022,18,97.2,1654,
Chapman, Aroldis,547973,2022,43,36.1,679,
Raley, Brooks,548384,2022,60,53.2,846,
Stripling, Ross,548389,2022,32,134.1,2033,
