,PLAYERNAME,Top Speed
425794,Adam Wainwright,90.0
425844,Zack Greinke,91.0
434378,Justin Verlander,96.0
434671,Anibal Sanchez,91.0
445276,Kenley Jansen,95.0
445926,Jesse Chavez,92.0
446372,Corey Kluber,91.0
448179,Rich Hill,90.0
450203,Charlie Morton,96.0
453178,Ian Kennedy,95.0
453268,Daniel Bard,99.0
453286,Max Scherzer,95.0
453343,Mark Melancon,93.0
455119,Chris Martin,96.0
456034,David Price,94.0
456501,Johnny Cueto,93.0
456713,Matt Bush,99.0
458681,Lance Lynn,95.0
459429,Jake McGee,96.0
468504,Jhoulys Chacin,94.0
471911,Carlos Carrasco,94.0
472610,Luis Garcia,100.0
475479,David Phelps,94.0
476595,Lucas Luetge,89.0
477132,Clayton Kershaw,92.0
489119,Wade Miley,91.0
489334,Craig Stammen,93.0
493603,Adam Ottavino,96.0
500779,Jose Quintana,92.0
501381,Michael Pineda,92.0
501985,Mike Minor,92.0
502042,Chris Archer,94.0
502043,Kyle Gibson,93.0
502085,David Robertson,94.0
502171,Alex Cobb,96.0
502179,Paolo Espino,90.0
502202,Brad Boxberger,94.0
503449,Wily Peralta,96.0
506433,Yu Darvish,97.0
517008,Alex Colome,95.0
518489,Ryan Brasier,97.0
518516,Madison Bumgarner,92.0
518553,Steve Cishek,91.0
518617,Jake Diekman,97.0
518876,Merrill Kelly,94.0
518886,Craig Kimbrel,97.0
519043,Matt Moore,95.0
519151,Ryan Pressly,96.0
519293,Will Smith,94.0
519326,Hunter Strickland,96.0
521230,Liam Hendriks,99.0
523260,Joe Kelly,99.0
527048,Martin Perez,94.0
528748,Humberto Castellanos,92.0
541640,Erasmo Ramirez,95.0
542881,Tyler Anderson,92.0
542888,Shawn Armstrong,96.0
542914,Anthony Bass,96.0
542947,Richard Bleier,92.0
543037,Gerrit Cole,99.0
543135,Nathan Eovaldi,98.0
543243,Sonny Gray,93.0
543272,Brad Hand,94.0
543294,Kyle Hendricks,88.0
543475,Jordan Lyles,93.0
543521,Collin McHugh,92.0
543606,Jake Odorizzi,93.0
543766,Bryan Shaw,96.0
544365,Manny Banuelos,95.0
544727,Jeurys Familia,98.0
547179,Michael Lorenzen,96.0
547973,Aroldis Chapman,102.0
548384,Brooks Raley,92.0
548389,Ross Stripling,94.0
554340,Yimi Garcia,97.0
554430,Zack Wheeler,98.0
554431,Tyler Matzek,96.0
570257,Joely Rodriguez,94.0
570632,Jose Urena,97.0
570666,Luis Cessa,95.0
571479,,96.0
571578,Patrick Corbin,94.0
571656,Buck Farmer,95.0
571670,Dylan Floro,94.0
571710,Mychal Givens,95.0
571760,Andrew Heaney,94.0
571800,Drew Hutchison,94.0
571901,Aaron Loup,93.0
571927,Steven Matz,96.0
571945,Miles Mikolas,95.0
571948,,90.0
572070,Garrett Richards,97.0
572193,Ryan Tepera,94.0
572971,Dallas Keuchel,90.0
573009,,92.0
573124,Taylor Rogers,96.0
573186,Marcus Stroman,94.0
573204,Caleb Thielbar,94.0
579328,Yusei Kikuchi,96.0
592094,Jason Adam,96.0
592332,Kevin Gausman,97.0
592351,Jon Gray,97.0
592662,Robbie Ray,96.0
592716,Adrian Sampson,94.0
592717,Aaron Sanchez,93.0
592761,Caleb Smith,93.0
592767,Drew Smyly,94.0
592773,Ryne Stanek,99.0
592789,Noah Syndergaard,95.0
592791,Jameson Taillon,95.0
592826,Vincent Velasquez,94.0
592836,Taijuan Walker,95.0
592858,Rowan Wick,96.0
592866,Trevor Williams,93.0
593334,Domingo German,94.0
593423,Frankie Montas,97.0
593576,Hector Neris,96.0
593958,Eduardo Rodriguez,93.0
593974,Wandy Peralta,97.0
594577,Mike Mayers,95.0
594580,,95.0
594798,Jacob deGrom,100.0
594835,Marco Gonzales,89.0
595345,Steven Okert,95.0
595881,Tyler Beede,97.0
596001,Jakob Junis,93.0
596057,Daniel Norris,93.0
596071,Dillon Peters,94.0
596112,Robert Stephenson,98.0
596133,Luke Weaver,96.0
596295,Austin Gomber,93.0
598264,Matt Barnes,97.0
598287,Noe Ramirez,91.0
600917,Jose Leclerc,98.0
600921,Andres Machado,97.0
601713,Nick Pivetta,95.0
605130,Scott Barlow,96.0
605135,Chris Bassitt,95.0
605154,John Brebbia,96.0
