last_name, first_name,player_id,year,p_formatted_ip,p_k_percent,p_bb_percent,ff_avg_speed,ff_range_speed,si_avg_speed,si_range_speed,fc_avg_speed,fc_range_speed,
Wainwright, Adam,425794,2021,206.1,21.0,6.0,89,1.4,89.1,1.5,84.9,1.5,
Greinke, Zack,425844,2021,171.0,17.2,5.2,88.9,1.3,89.5,1.2,,,
Santana, Ervin,429722,2021,65.1,18.8,7.9,93.4,1.3,,,,,
Petit, Yusmeiro,433589,2021,78.0,11.8,3.8,87.6,1.2,,,84.5,1.2,
Jansen, Kenley,445276,2021,69.0,30.9,12.9,,,93.9,1.7,92.5,1.9,
Detwiler, Ross,446321,2021,52.1,27.1,8.7,91.9,1.3,91.1,1.3,85.1,1.6,
Kluber, Corey,446372,2021,80.0,24.0,9.7,89.9,1.3,90.7,1.3,87.6,1.3,
Hill, Rich,448179,2021,158.2,22.7,8.3,88.1,1.4,84.8,1.6,83.6,1.7,
Doolittle, Sean,448281,2021,49.2,23.8,10.3,93.1,1.4,,,,,
Guerra, Junior,448855,2021,65.1,19.9,15.0,92.2,1.1,93,1.2,,,
Morton, Charlie,450203,2021,185.2,28.6,7.7,95.5,1.1,94.6,1.2,87.5,1.5,
Davis, Wade,451584,2021,42.2,20.0,10.0,92.7,1.3,91.4,1.5,88.6,1.4,
Lester, Jon,452657,2021,141.1,14.5,8.8,88.7,1.3,87.6,1.4,86.4,1.5,
Kennedy, Ian,453178,2021,56.1,27.2,7.5,94.1,0.9,,,84.4,2,
Miller, Andrew,453192,2021,36.0,24.4,9.8,87.9,1.5,88.9,1.9,,,
Watson, Tony,453265,2021,57.1,19.6,8.0,92.5,1.2,92.3,1.3,,,
Bard, Daniel,453268,2021,65.2,26.3,11.8,97.5,1.4,97.3,1.3,,,
LeBlanc, Wade,453281,2021,49.0,13.1,7.7,87.5,1.6,87.6,1.4,85,1.5,
Parker, Blake,453284,2021,43.2,20.0,7.6,90.7,1,,,88.9,1.2,
Scherzer, Max,453286,2021,179.1,34.1,5.2,94.3,1.4,,,90.2,1.3,
