,PLAYERNAME,Trajectory
405395,Albert Pujols,3
408234,Miguel Cabrera,2
425877,Yadier Molina,3
429664,Robinson Cano,2
435559,Kurt Suzuki,3
443558,Nelson Cruz,2
444482,David Peralta,2
444876,Alcides Escobar,2
446334,Evan Longoria,3
453568,Charlie Blackmon,2
455117,Martin Maldonado,3
455139,Robinson Chirinos,3
456715,Lorenzo Cain,2
456781,Donovan Solano,2
457705,Andrew McCutchen,2
457708,Justin Upton,3
457759,Justin Turner,3
458015,Joey Votto,3
462101,Elvis Andrus,2
467793,Carlos Santana,2
474832,Brandon Belt,4
476704,Jed Lowrie,3
488726,Michael Brantley,2
488771,Jason Castro,2
493329,Yulieski Gurriel,2
500743,Miguel Rojas,2
500871,Eduardo Escobar,4
501303,Ehire Adrianza,2
501571,Juan Lagares,2
502054,Tommy Pham,2
502110,J.D. Martinez,3
502671,Paul Goldschmidt,3
503556,Marwin Gonzalez,2
506702,Sandy Leon,4
514888,Jose Altuve,3
514917,Cesar Hernandez,2
516416,Jean Segura,1
516782,Starling Marte,2
518586,Charlie Culberson,2
518595,Travis D'Arnaud,2
518626,Josh Donaldson,2
518692,Freddie Freeman,2
518735,Yasmani Grandal,2
518792,Jason Heyward,2
518934,DJ LeMahieu,1
519058,Mike Moustakas,3
519203,Anthony Rizzo,3
519222,Austin Romine,2
519317,Giancarlo Stanton,2
519390,Stephen Vogt,4
521692,Salvador Perez,3
527038,Wilmer Flores,3
541645,Avisail Garcia,2
542194,Christian Bethancourt,2
542303,Marcell Ozuna,3
542340,Jonathan Villar,1
542364,Rafael Ortega,3
542583,Jesus Aguilar,3
542932,Jon Berti,1
543063,Brandon Crawford,2
543068,C.J. Cron,2
543228,Yan Gomes,2
543257,Robbie Grossman,4
543281,Josh Harrison,2
543305,Aaron Hicks,3
543309,Kyle Higashioka,3
543333,Eric Hosmer,1
543510,James McCann,2
543543,Brad Miller,2
543592,Austin Nola,2
543685,Anthony Rendon,4
543760,Marcus Semien,4
543807,George Springer,3
543829,Dee Strange-Gordon,1
543877,Christian Vazquez,2
543939,Kolten Wong,2
544369,Didi Gregorius,3
544725,Leury Garcia,2
545121,Ildemaro Vargas,2
545341,Randal Grichuk,2
545350,Jake Marisnick,3
545358,Max Stassi,2
545361,Mike Trout,4
546318,Odubel Herrera,2
546991,Albert Almora,2
547180,Bryce Harper,2
547379,Roberto Perez,2
547989,Jose Abreu,2
553869,Elias Diaz,2
553882,Omar Narvaez,3
553902,Willians Astudillo,3
