last_name, first_name,player_id,year,b_total_pa,launch_angle_avg,
Pujols, Albert,405395,2021,296,12,
Cabrera, Miguel,408234,2021,526,10,
Rivera, Rene,425784,2021,78,13,
Wainwright, Adam,425794,2021,74,4.7,
Molina, Yadier,425877,2021,473,15.3,
Suzuki, Kurt,435559,2021,247,14.6,
Cruz Jr., Nelson,443558,2021,584,11.8,
Peralta, David,444482,2021,538,5.3,
Pina, Manny,444489,2021,208,18.8,
Escobar, Alcides,444876,2021,349,11.1,
Longoria, Evan,446334,2021,291,15.5,
Morton, Charlie,450203,2021,62,3.7,
Lester, Jon,452657,2021,51,0.5,
Cabrera, Asdrubal,452678,2021,352,14.5,
Scherzer, Max,453286,2021,63,-4.6,
Blackmon, Charlie,453568,2021,582,10.2,
Maldonado, Martin,455117,2021,426,17.6,
Chirinos, Robinson,455139,2021,112,21.7,
Cain, Lorenzo,456715,2021,286,7.2,
Solano, Donovan,456781,2021,344,11,
McCutchen, Andrew,457705,2021,574,14.6,
Upton, Justin,457708,2021,362,15.2,
Turner, Justin,457759,2021,612,19.2,
Posey III, Buster,457763,2021,454,8.7,
Votto, Joey,458015,2021,533,18.2,
Gardner, Brett,458731,2021,461,12.5,
Joyce, Matt,459964,2021,69,14.8,
Romine, Andrew,461865,2021,64,7.1,
Andrus, Elvis,462101,2021,541,8.1,
Sandoval, Pablo,467055,2021,86,14,
Ramos, Wilson,467092,2021,163,6.6,
Santana, Carlos,467793,2021,659,12.9,
Parra, Gerardo,467827,2021,107,15.7,
Mercer, Jordy,474568,2021,127,13.2,
Belt, Brandon,474832,2021,381,23,
Zimmerman, Ryan,475582,2021,273,7.4,
Lowrie, Jed,476704,2021,512,16.4,
Avila, Alex,488671,2021,111,10.8,
Brantley Jr., Michael,488726,2021,508,9.9,
Castro, Jason,488771,2021,179,14.5,
Miley, Wade,489119,2021,59,1.7,
Gurriel, Yuli,493329,2021,605,13.4,
Rojas, Miguel,500743,2021,539,11.5,
Escobar, Eduardo,500871,2021,599,20.8,
Adrianza, Ehire,501303,2021,209,13.4,
Lagares, Juan,501571,2021,327,8.8,
Almonte, Abraham,501659,2021,175,10.5,
Davis, Khris,501981,2021,114,13.6,
Pham, Tommy,502054,2021,561,7.6,
Martinez, J.D.,502110,2021,634,16.9,
Reddick, Josh,502210,2021,158,16.8,
Freeman, Mike,502273,2021,65,11.1,
Dyson, Jarrod,502481,2021,149,4.1,
Goldschmidt, Paul,502671,2021,679,17.1,
Gonzalez, Marwin,503556,2021,307,8.9,
Darvish, Yu,506433,2021,55,-11.9,
Leon, Sandy,506702,2021,220,20,
Altuve, Jose,514888,2021,678,15.6,
Hernandez, Cesar,514917,2021,637,10.7,
Segura, Jean,516416,2021,567,5.8,
Castro, Starlin,516770,2021,346,9.2,
Marte, Starling,516782,2021,526,4.6,
Bumgarner, Madison,518516,2021,52,24.7,
Culberson, Charlie,518586,2021,271,10.6,
d'Arnaud, Travis,518595,2021,229,5.9,
Donaldson, Josh,518626,2021,543,14.6,
Freeman, Freddie,518692,2021,695,12,
Grandal, Yasmani,518735,2021,375,14.2,
Heyward, Jason,518792,2021,353,7.5,
Kelly, Merrill,518876,2021,58,-3.6,
LeMahieu, DJ,518934,2021,679,5,
Moreland, Mitch,519048,2021,252,12.9,
Moustakas, Mike,519058,2021,206,18.6,
Rizzo, Anthony,519203,2021,576,14.8,
Romine, Austin,519222,2021,62,9.7,
Sogard, Eric,519299,2021,180,12.1,
Stanton, Giancarlo,519317,2021,579,10.3,
Vogt, Stephen,519390,2021,238,19.2,
Galvis, Freddy,520471,2021,394,14.1,
Perez, Salvador,521692,2021,665,15.9,
Flores, Wilmer,527038,2021,436,18,
Garcia, Avisail,541645,2021,515,9.3,
